Node ID,Concept / Competency,Track Owner,Node Type,Prerequisite Node(s),Prerequisite Detail,First Taught / Activated Week,Application Track / Week,Later Deepening / Reuse,Mastery Week / Task,Source Basis,Notes
C2.2,"Use a component datasheet to identify pinout, absolute maximum ratings, recommended operating conditions, and key electrical characteristics.",Career,Career standard,CETA-W02,CETA-W02 and relevant device/datasheet theory; C1 safe bench habits,13,Career Week 13,"Week 18, Week 25",Week 13 · SEM-C2-13-076,Georgia Piedmont Technical College — Electronics Technology — current catalog; Portland Community College — EET 101B — Electronic Equipment and Lab Skills; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C2.3,"Distinguish a schematic, wiring diagram, block diagram, layout/PCB view, and timing diagram and choose the right artifact for a troubleshooting task.",Career,Career standard,CETA-W02,CETA-W02 and relevant device/datasheet theory; C1 safe bench habits,13,Career Week 13,"Week 19, Week 22",Week 13 · SEM-C2-13-076,Georgia Piedmont Technical College — Electronics Technology — current catalog; Portland Community College — EET 101B — Electronic Equipment and Lab Skills; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C2.4,Trace a signal or power path from connector to load and identify useful test points before probing.,Career,Career standard,CETA-W02,CETA-W02 and relevant device/datasheet theory; C1 safe bench habits,13,Career Week 13,"Week 19, Week 21",Week 13 · SEM-C2-13-076,Georgia Piedmont Technical College — Electronics Technology — current catalog; Portland Community College — EET 101B — Electronic Equipment and Lab Skills; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C2.5,"Interpret pull-ups, pull-downs, decoupling capacitors, current-limiting resistors, protection devices, and common interface support circuitry.",Career,Career standard,CETA-W02,CETA-W02 and relevant device/datasheet theory; C1 safe bench habits,13,Career Week 13,"Week 18, Week 25",Week 13 · SEM-C2-13-076,Georgia Piedmont Technical College — Electronics Technology — current catalog; Portland Community College — EET 101B — Electronic Equipment and Lab Skills; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C2.6,Explain design intent from a schematic well enough to predict expected node voltages or signal behavior before measuring.,Career,Career standard,CETA-W02,CETA-W02 and relevant device/datasheet theory; C1 safe bench habits,13,Career Week 13,Later cumulative practice/project evidence as applicable,Week 13 · SEM-C2-13-076,Georgia Piedmont Technical College — Electronics Technology — current catalog; Portland Community College — EET 101B — Electronic Equipment and Lab Skills; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C3.1,"Select the correct DMM function, input jack, and circuit connection for voltage, resistance/continuity, or current; explain how each mode interacts with the circuit; then make the measurement safely.",Career,Career standard,CAREER-W03-MEASUREMENT-PLAN,CETA-W03 (measurement/waveform concepts); C1 safety/reference discipline; C2 expected-value reasoning,3,Career Week 3,"Week 5, Week 7, Week 8, Week 9, Week 24, Week 29",Week 3 · SEM-C3-03-1640A,Fluke — Digital Multimeter Basics; Portland Community College — EET 101A — Electronic Lab and Essential Work Skills,REWRITE · Adapted from / informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C3.2,"Set bench-supply voltage and a conservative current limit from expected circuit behavior, distinguish CV from current-limit operation, and use current consumption as evidence during bring-up.",Career,Career standard,CAREER-W03-MEASUREMENT-PLAN,CETA-W03 (measurement/waveform concepts); C1 safety/reference discipline; C2 expected-value reasoning,3,Career Week 3,"Week 5, Week 9, Week 24, Week 29",Week 3 · SEM-C3-03-1640A,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills; Fluke — Digital Multimeter Basics,REWRITE · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C3.3,"Starting with a known waveform, configure probe/reference, attenuation, coupling, vertical scale, timebase, and trigger to obtain a stable oscilloscope display and document the setup.",Career,Career standard,CAREER-W03-MEASUREMENT-PLAN,CETA-W03 (measurement/waveform concepts); C1 safety/reference discipline; C2 expected-value reasoning,3,Career Week 3,"Week 4, Week 5, Week 6, Week 10, Week 24, Week 29",Week 3 · SEM-C3-03-1640A,Tektronix — The XYZs of Oscilloscopes; Portland Community College — EET 101A — Electronic Lab and Essential Work Skills,REWRITE · Adapted from / informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C3.4,"Predict and measure waveform amplitude, frequency, period, duty cycle, DC offset, and rise/fall behavior, while distinguishing resolution, accuracy, loading, bandwidth, and repeatability limits.",Career,Career standard,CAREER-W03-MEASUREMENT-PLAN,CETA-W03 (measurement/waveform concepts); C1 safety/reference discipline; C2 expected-value reasoning,3,Career Week 3,"Week 4, Week 6, Week 10, Week 11",Week 3 · SEM-C3-03-1640A,Tektronix — The XYZs of Oscilloscopes; Portland Community College — EET 101B — Electronic Equipment and Lab Skills,REWRITE · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C3.5,"After a known digital-bus transaction exists, configure a logic analyzer with correct reference, threshold, sample rate, channel mapping, and decoder settings; correlate raw and decoded activity and recognize when an oscilloscope is required for analog signal-quality questions.",Career,Career standard,CAREER-W18-I2C-LOGIC; CAREER-W03-MEASUREMENT-PLAN,CETA-W18 (serial-bus model); C9.2 (known-good I²C transaction earlier in Week 18); C3.1–C3.4 (measurement-plan and reference discipline),18,Career Week 18,"Week 25, Week 29",Week 18 · SEM-C3-18-1640B,Saleae — Logic Analyzer Learning and Support; Portland Community College — EET 101B — Electronic Equipment and Lab Skills,MOVE · Informed by · Alfred preserves the competency identity but moves required mastery evidence to the dependency-correct week.
C3.6,"Translate a troubleshooting question into a measurable hypothesis, then choose the instrument, test point, setup, and expected result that will provide the most useful evidence.",Career,Career standard,CAREER-W03-MEASUREMENT-PLAN,CETA-W03 (measurement/waveform concepts); C1 safety/reference discipline; C2 expected-value reasoning,3,Career Week 3,"Week 4, Week 5, Week 6, Week 13, Week 19, Week 20, Week 21, Week 28",Week 3 · SEM-C3-03-1640A,Portland Community College — EET 101A — Electronic Lab and Essential Work Skills; Portland Community College — EET 101B — Electronic Equipment and Lab Skills; Fluke — Digital Multimeter Basics; Tektronix — The XYZs of Oscilloscopes,REWRITE · Adapted from / informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C4.1,"Identify acceptable and defective solder joints and explain likely causes of cold joints, bridges, insufficient wetting, and lifted pads.",Career,Career standard,CETA-W12,Relevant CETa workmanship/component/interconnect instruction; C1 ESD/safety habits,12,Career Week 12,"Week 21, Week 29",Week 12 · SEM-C4-12-1640A,"Georgia Piedmont Technical College — Electronics Technology — current catalog; NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring; NASA — NASA-HDBK-8739.21 — ESD Control; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians",KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C4.2,"Plan a safe through-hole or basic SMT rework sequence that minimizes heat, mechanical stress, and ESD exposure.",Career,Career standard,CETA-W12,Relevant CETa workmanship/component/interconnect instruction; C1 ESD/safety habits,12,Career Week 12,Week 29,Week 12 · SEM-C4-12-1640A,"Georgia Piedmont Technical College — Electronics Technology — current catalog; NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring; NASA — NASA-HDBK-8739.21 — ESD Control; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians",KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C4.3,"Prepare, strip, crimp, strain-relieve, and inspect a low-voltage wire or harness connection using workmanship criteria.",Career,Career standard,CAREER-W19-HARNESS,CETA-W19 (cabling/interconnect concepts); C1.2/C1.5 (ESD and bench/work practices); known-good harness orientation/pinout,19,Career Week 19,Week 29,Week 19 · SEM-C4-19-1640B,"Georgia Piedmont Technical College — Electronics Technology — current catalog; NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring; NASA — NASA-HDBK-8739.21 — ESD Control; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians",MOVE · Informed by · Alfred preserves the competency identity but moves required mastery evidence to the dependency-correct week.
C4.4,"Use connector keying, pin numbering, continuity checks, and wire labels to prevent harness miswiring.",Career,Career standard,CETA-W12,Relevant CETa workmanship/component/interconnect instruction; C1 ESD/safety habits,19,Career Week 19,Week 29,Week 19 · SEM-C4-19-1640B,"Georgia Piedmont Technical College — Electronics Technology — current catalog; NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring; NASA — NASA-HDBK-8739.21 — ESD Control; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians",KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C4.5,"Document rework with before/after evidence, component orientation, and verification measurements.",Career,Career standard,CETA-W12,Relevant CETa workmanship/component/interconnect instruction; C1 ESD/safety habits,12,Career Week 12,Week 29,Week 12 · SEM-C4-12-1640A,"Georgia Piedmont Technical College — Electronics Technology — current catalog; NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring; NASA — NASA-HDBK-8739.21 — ESD Control; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians",KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C4.6,"Explain when a damaged pad, trace, connector, or harness should be repaired, replaced, or escalated rather than improvised.",Career,Career standard,CETA-W12,Relevant CETa workmanship/component/interconnect instruction; C1 ESD/safety habits,12,Career Week 12,"Week 19, Week 29",Week 12 · SEM-C4-12-1640A,"Georgia Piedmont Technical College — Electronics Technology — current catalog; NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring; NASA — NASA-HDBK-8739.21 — ESD Control; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians",KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C5.1,Reproduce a fault reliably and define the observed symptom before attempting a fix.,Career,Career standard,CAREER-W03-MEASUREMENT-PLAN,C2 expected/design-intent model; C3 measurement planning; known-good behavior before faults,13,Career Week 13,"Week 20, Week 21, Week 28",Week 13 · SEM-C5-13-1640A,Portland Community College — EET 101B — Electronic Equipment and Lab Skills; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; NASA — NASA Systems Engineering Handbook,KEEP · Informed by / cross-checked against · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C5.2,Form a testable hypothesis from expected versus actual behavior and choose the next measurement that best separates competing causes.,Career,Career standard,CAREER-W03-MEASUREMENT-PLAN,C2 expected/design-intent model; C3 measurement planning; known-good behavior before faults,13,Career Week 13,"Week 19, Week 20, Week 21, Week 22, Week 28",Week 13 · SEM-C5-13-1640A,Portland Community College — EET 101B — Electronic Equipment and Lab Skills; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; NASA — NASA Systems Engineering Handbook,KEEP · Informed by / cross-checked against · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C5.3,"Use divide-and-conquer, known-good substitution, signal tracing, or rail-by-rail checks appropriately without changing multiple variables at once.",Career,Career standard,CAREER-W03-MEASUREMENT-PLAN,C2 expected/design-intent model; C3 measurement planning; known-good behavior before faults,13,Career Week 13,Week 28,Week 13 · SEM-C5-13-1640A,Portland Community College — EET 101B — Electronic Equipment and Lab Skills; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; NASA — NASA Systems Engineering Handbook,KEEP · Informed by / cross-checked against · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C5.4,Distinguish root cause from symptom and verify that a repair removes the cause without creating a new failure.,Career,Career standard,CAREER-W03-MEASUREMENT-PLAN,C2 expected/design-intent model; C3 measurement planning; known-good behavior before faults,13,Career Week 13,"Week 21, Week 28, Week 29",Week 13 · SEM-C5-13-1640A,Portland Community College — EET 101B — Electronic Equipment and Lab Skills; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; NASA — NASA Systems Engineering Handbook,KEEP · Informed by / cross-checked against · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C5.5,Use fault injection or controlled perturbation to demonstrate that a diagnostic method can detect an expected failure mode.,Career,Career standard,CAREER-W28-FAULT-INJECTION,C5.1–C5.4 (expected→observed troubleshooting and causal hypothesis testing); C11.1–C11.4 (verification/test-case discipline); known-good project baseline,28,Career Week 28,Later cumulative practice/project evidence as applicable,Week 28 · SEM-C5-28-1640B,Portland Community College — EET 101B — Electronic Equipment and Lab Skills; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; NASA — NASA Systems Engineering Handbook,MOVE · Informed by / cross-checked against · Alfred preserves the competency identity but moves required mastery evidence to the dependency-correct week.
C5.6,"Write a concise failure report containing symptom, setup, evidence, root cause, corrective action, and verification.",Career,Career standard,CAREER-W03-MEASUREMENT-PLAN,C2 expected/design-intent model; C3 measurement planning; known-good behavior before faults,13,Career Week 13,"Week 20, Week 28, Week 30, Week 31",Week 13 · SEM-C5-13-1640A,Portland Community College — EET 101B — Electronic Equipment and Lab Skills; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians; NASA — NASA Systems Engineering Handbook,KEEP · Informed by / cross-checked against · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C6.1,"Read, write, and trace small C programs using typed variables, expressions, assignments, conditionals, and loops; predict control flow and resulting values before running the code.",Career,Career standard,CAREER-W14-C-FOUNDATION,CETA-W14 computer/representation foundation; no prior programming assumed,14,Career Week 14,Later cumulative practice/project evidence as applicable,Week 14 · SEM-C6-14-1640,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; Brian Hall / open textbook — Beej's Guide to C Programming,REWRITE · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C6.2,"Use function declarations/prototypes, parameters, return values, and scope to divide C programs into small testable units and explain the data passed into and out of each unit.",Career,Career standard,CAREER-W14-C-FOUNDATION,CETA-W14 computer/representation foundation; no prior programming assumed,14,Career Week 14,Week 26,Week 14 · SEM-C6-14-1640,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; Brian Hall / open textbook — Beej's Guide to C Programming,REWRITE · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C6.3,"Use arrays, strings, structs, and enums to represent small embedded/test-program data structures while maintaining bounds, type, and lifetime discipline.",Career,Career standard,CAREER-W14-C-FOUNDATION,CETA-W14 computer/representation foundation; no prior programming assumed,14,Career Week 14,Week 15,Week 14 · SEM-C6-14-1640,Harvard University — CS50x Week 4 — Memory and Pointers; Brian Hall / open textbook — Beej's Guide to C Programming,SPLIT · Informed by · C6.3 now owns aggregate data structures; new C6.7 owns addresses/pointers and lifetime-safe pointer use.
C6.4,"Use bitwise AND, OR, XOR, shifts, and masks to inspect or modify specific bits, and explain the before/after bit pattern rather than treating the operation as a memorized formula.",Career,Career standard,CAREER-W14-C-FOUNDATION,CETA-W14 computer/representation foundation; no prior programming assumed,14,Career Week 14,"Week 15, Week 26",Week 14 · SEM-C6-14-1640,Arm — Embedded C Programming with Arm Cortex-M; Brian Hall / open textbook — Beej's Guide to C Programming,REWRITE · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C6.5,"Recognize and prevent common C defects including off-by-one errors, uninitialized data, invalid pointer use, out-of-bounds access, integer conversion/overflow problems, and missing validation.",Career,Career standard,CAREER-W14-C-FOUNDATION,CETA-W14 computer/representation foundation; no prior programming assumed,14,Career Week 14,"Week 15, Week 26",Week 14 · SEM-C6-14-1640,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; Brian Hall / open textbook — Beej's Guide to C Programming; Harvard University — CS50x Week 4 — Memory and Pointers; Arm — Embedded C Programming with Arm Cortex-M,REWRITE · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C6.6,"Build small C programs with warnings enabled, interpret compiler/runtime diagnostics, reproduce failures with controlled inputs, inspect state, and debug by testing one hypothesis at a time.",Career,Career standard,CAREER-W14-C-FOUNDATION,CETA-W14 computer/representation foundation; no prior programming assumed,14,Career Week 14,Week 15,Week 14 · SEM-C6-14-1640,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; Brian Hall / open textbook — Beej's Guide to C Programming; Harvard University — CS50x Week 4 — Memory and Pointers; Arm — Embedded C Programming with Arm Cortex-M,REWRITE · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C6.7,"Explain the difference between a value and an address, use pointers to access valid objects/arrays, and identify invalid, null, out-of-bounds, and lifetime-related pointer risks in small C programs.",Career,Career standard,CAREER-W14-C-FOUNDATION,"CETA-W14 (computer/memory representation); C6.1–C6.3 (program anatomy, control flow, arrays/data structures)",14,Career Week 14,Later cumulative practice/project evidence as applicable,Week 14 · SEM-C6-14-1640,Brian Hall / open textbook — Beej's Guide to C Programming; Harvard University — CS50x Week 4 — Memory and Pointers; Arm — Embedded C Programming with Arm Cortex-M,"ADD · Informed by · Alfred introduces the address mental model only after arrays/functions, then uses tiny examples before MCU register/peripheral code."
C7.1,"Explain an embedded microcontroller as CPU + memory + clocks + buses + peripherals + registers, and connect each part to what executing C code can observe or control.",Career,Career standard,CAREER-W15-EMBEDDED-ARCH,C6 C-programming foundation; CETA-W15 MCU/computer concepts,15,Career Week 15,Week 16,Week 15 · SEM-C7-15-081,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; Arm University Program — Efficient Embedded Systems Education Kit; STMicroelectronics — STM32 Online Training,REWRITE · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C7.2,"Use fixed-width integer types and volatile appropriately for hardware registers or asynchronously changed state, and explain what volatile does and does not guarantee.",Career,Career standard,CAREER-W15-EMBEDDED-ARCH,C6 C-programming foundation; CETA-W15 MCU/computer concepts,15,Career Week 15,"Week 16, Week 26",Week 15 · SEM-C7-15-081,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; Arm — Embedded C Programming with Arm Cortex-M; Arm University Program — Efficient Embedded Systems Education Kit; STMicroelectronics — STM32 Online Training,REWRITE · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C7.3,Apply read-modify-write and bit masks to memory-mapped peripheral registers while preserving unrelated bits and checking the relevant register documentation.,Career,Career standard,CAREER-W15-EMBEDDED-ARCH,C6 C-programming foundation; CETA-W15 MCU/computer concepts,15,Career Week 15,"Week 16, Week 26",Week 15 · SEM-C7-15-081,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; Arm — Embedded C Programming with Arm Cortex-M; Arm University Program — Efficient Embedded Systems Education Kit; STMicroelectronics — STM32 Online Training,REWRITE · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C7.4,"Convert a simple blocking embedded behavior into an explicit nonblocking state machine with named states, transitions, events, and bounded timing behavior.",Career,Career standard,CAREER-W15-EMBEDDED-ARCH,C6 C-programming foundation; CETA-W15 MCU/computer concepts,15,Career Week 15,Week 26,Week 15 · SEM-C7-15-081,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; Arm — Embedded C Programming with Arm Cortex-M; Arm University Program — Efficient Embedded Systems Education Kit; STMicroelectronics — STM32 Online Training,REWRITE · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C7.5,"Explain polling and interrupts from the CPU/peripheral point of view and choose the simpler correct mechanism for a stated latency, timing, and complexity requirement.",Career,Career standard,CAREER-W15-EMBEDDED-ARCH,C6 C-programming foundation; CETA-W15 MCU/computer concepts,15,Career Week 15,"Week 16, Week 26",Week 15 · SEM-C7-15-081,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; Arm — Embedded C Programming with Arm Cortex-M; Arm University Program — Efficient Embedded Systems Education Kit; STMicroelectronics — STM32 Online Training,REWRITE · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C7.6,"Separate hardware-access code, application/state logic, and diagnostic output so each layer can be reasoned about, tested, and troubleshot independently.",Career,Career standard,CAREER-W15-EMBEDDED-ARCH,C6 C-programming foundation; CETA-W15 MCU/computer concepts,15,Career Week 15,Week 26,Week 15 · SEM-C7-15-081,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; Arm — Embedded C Programming with Arm Cortex-M; Arm University Program — Efficient Embedded Systems Education Kit; STMicroelectronics — STM32 Online Training,REWRITE · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C8.1,"Create an STM32 project by identifying the exact board/MCU, configuring clocks and pins, generating/inspecting initialization, building the project, and identifying the produced firmware image.",Career,Career standard,CAREER-W16-STM32-BASELINE,C7 embedded-C/MCU architecture; C3 measurement evidence; CETA-W16 MCU/toolchain concepts,16,Career Week 16,Later cumulative practice/project evidence as applicable,Week 16 · SEM-C8-16-1640,STMicroelectronics — STM32 Online Training; STMicroelectronics — STM32CubeMX and STM32Cube HAL Basics,REWRITE · Adapted from / informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C8.2,"Bring up one STM32 GPIO path from project configuration through firmware state to physical pin behavior, using an independent measurement to prove the result.",Career,Career standard,CAREER-W16-STM32-BASELINE,C7 embedded-C/MCU architecture; C3 measurement evidence; CETA-W16 MCU/toolchain concepts,16,Career Week 16,Week 17,Week 16 · SEM-C8-16-1640,STMicroelectronics — STM32 Online Training; STMicroelectronics — STM32CubeMX and STM32Cube HAL Basics; Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; Arm University Program — Efficient Embedded Systems Education Kit,REWRITE · Adapted from / informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C8.3,"Explain the debug-probe/SWD path and use it to connect, halt, step, set breakpoints, and inspect variables/registers so code-flow faults can be separated from hardware faults.",Career,Career standard,CAREER-W16-STM32-BASELINE,C7 embedded-C/MCU architecture; C3 measurement evidence; CETA-W16 MCU/toolchain concepts,16,Career Week 16,Week 24,Week 16 · SEM-C8-16-1640,STMicroelectronics — STM32 Online Training; Arm University Program — Efficient Embedded Systems Education Kit,REWRITE · Adapted from / informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C8.4,"After a known-good GPIO baseline, configure and validate one STM32 timer/event or interrupt path while checking peripheral clock, prescaler/period, time units, flags, and observable timing evidence.",Career,Career standard,CAREER-W16-STM32-BASELINE,CETA-W16 (MCU/clock architecture); C7.1–C7.6 (embedded C/MCU architecture); C8.1–C8.3 (known-good STM32 GPIO/build/flash/SWD baseline),16,Career Week 16,"Week 18, Week 25",Week 16 · SEM-C8-16-1640,STMicroelectronics — STM32 Online Training; STMicroelectronics — STM32CubeMX and STM32Cube HAL Basics; Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; Arm University Program — Efficient Embedded Systems Education Kit,SPLIT · Adapted from / informed by · C8.4 is taught only after the Week 16 GPIO/SWD baseline.
C8.5,"Use staged evidence—power/current, reset/boot, clock/configuration, debug connectivity, minimal firmware, and I/O—to establish a known-good STM32 bring-up baseline before adding complexity.",Career,Career standard,CAREER-W16-STM32-BASELINE,C7 embedded-C/MCU architecture; C3 measurement evidence; CETA-W16 MCU/toolchain concepts,16,Career Week 16,Week 24,Week 16 · SEM-C8-16-1640,STMicroelectronics — STM32 Online Training; STMicroelectronics — STM32CubeMX and STM32Cube HAL Basics; Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; Arm University Program — Efficient Embedded Systems Education Kit,REWRITE · Adapted from / informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C8.6,"Capture an STM32 fault reproducibly with board/MCU identity, firmware revision, configuration, measurements/debug evidence, hypothesis, corrective action, and verified retest.",Career,Career standard,CAREER-W16-STM32-BASELINE,C7 embedded-C/MCU architecture; C3 measurement evidence; CETA-W16 MCU/toolchain concepts,16,Career Week 16,"Week 24, Week 26",Week 16 · SEM-C8-16-1640,STMicroelectronics — STM32 Online Training; STMicroelectronics — STM32CubeMX and STM32Cube HAL Basics; Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions; Arm University Program — Efficient Embedded Systems Education Kit,REWRITE · Adapted from / informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C8.7,"After a known-good digital baseline, configure and validate one STM32 ADC channel using a known input while checking reference voltage, channel/pin mode, resolution/sample settings, raw code, engineering-unit conversion, and independent physical measurement.",Career,Career standard,CAREER-W16-STM32-BASELINE,CETA-W16 (MCU and conversion foundations); C8.1–C8.3 (known-good digital baseline); voltage/reference measurement discipline from C3,16,Career Week 16,Later cumulative practice/project evidence as applicable,Week 16 · SEM-C8-16-1640,STMicroelectronics — STM32 Online Training; Arm University Program — Efficient Embedded Systems Education Kit,ADD · Informed by / cross-checked against · Alfred uses a known DC input and DMM cross-check before any sensor-specific ADC application.
C9.1,"Configure UART parameters and diagnose mismatched baud rate, data bits, parity, stop bits, logic level, or crossed TX/RX connections.",Career,Career standard,CAREER-W18-I2C-LOGIC,C8 known-good MCU baseline; CETA-W18 interface signaling; C3 measurement/reference discipline,18,Career Week 18,Week 27,Week 18 · SEM-C9-18-083,STMicroelectronics — STM32 Online Training; Saleae — Logic Analyzer Learning and Support; SparkFun — Serial Communication; SparkFun — I2C; SparkFun — Serial Peripheral Interface (SPI),KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
C9.2,"Explain I²C addressing, open-drain signaling, pull-up resistors, START/STOP conditions, ACK/NACK, and common stuck-bus faults.",Career,Career standard,CAREER-W18-I2C-LOGIC,C8 known-good MCU baseline; CETA-W18 interface signaling; C3 measurement/reference discipline,18,Career Week 18,Week 25,Week 18 · SEM-C9-18-083,STMicroelectronics — STM32 Online Training; Saleae — Logic Analyzer Learning and Support; SparkFun — Serial Communication; SparkFun — I2C; SparkFun — Serial Peripheral Interface (SPI),KEEP · Informed by · Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.
