Canonical ID,New in Part 2,Title,Author / Organization,Provider,URL / Source,Literature Type,Access,Assignment Week,Instructional Week,Lesson,Section ID,Section Label,Relationship,Requirement,Inline,Read / Use,Focus On,After Reading,Why Here,Practical / Real-world,Exact Backlink,Target Valid,Orphan,Final Status
nasaTechnicalPlanning,NO — existing written source reused,NASA Systems Engineering Handbook — 6.1 Technical Planning,NASA,NASA,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,28,28,CETa,concept-6,Field versus shop procedure and project management,Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “Field versus shop procedure and project management.”,"After using this resource, be able to explain or apply: Scale the method to technician/electronics work. For field service, include authorization/access, safety, tools/spares, outage window, backup/rollback and communication; compare that with the more controlled shop/bench environment.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=28&stage=ceta-lesson&lesson=0&section=concept-6&from=media&mediaWeek=28&media=nasaTechnicalPlanning,YES,NO,PASS
adafruitSolderProblems,NO — existing written source reused,Adafruit Guide to Excellent Soldering — Common Soldering Problems,Adafruit Learning System,Adafruit Learning System,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,29,29,CETa,concept-1,"Workmanship criteria are observable, not aesthetic preference",Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,"Focus on the evidence or professional practice that directly supports “Workmanship criteria are observable, not aesthetic preference.”","After using this resource, be able to explain or apply: Identify cold/disturbed/overheated joints, wetting problems, bridges, excess/insufficient solder and lifted pads.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=29&stage=ceta-lesson&lesson=0&section=concept-1&from=media&mediaWeek=29&media=adafruitSolderProblems,YES,NO,PASS
nasaHarness,NO — existing written source reused,"NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring",NASA,NASA,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,29,29,CETa,concept-7,Workmanship is verified by condition plus electrical evidence,Used in,supporting,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “Workmanship is verified by condition plus electrical evidence.”,"After using this reference, be able to locate, explain, or apply: Name the exact accept/rework/escalate condition and preserve inspection evidence.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=29&stage=ceta-lesson&lesson=0&section=concept-7&from=media&mediaWeek=29&media=nasaHarness,YES,NO,PASS
tekScopeSetup,NO — existing written source reused,How to Use an Oscilloscope and Probe — Step-by-Step Tutorial,Tektronix,Tektronix,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,29,29,CETa,concept-5,Measurement setup is part of workmanship verification,Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “Measurement setup is part of workmanship verification.”,"After using this resource, be able to explain or apply: Preserve settings that make the waveform reproducible.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=29&stage=ceta-lesson&lesson=0&section=concept-5&from=media&mediaWeek=29&media=tekScopeSetup,YES,NO,PASS
gatechResumeGuide,NO — existing written source reused,Georgia Tech Career Center Resume Guide,Georgia Institute of Technology Career Center,Georgia Institute of Technology Career Center,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,30,30,Career,career-w30-career-integration-portfolio-proof-interviews-resumes-and-bridge-role-de,"Career integration: portfolio proof, interviews, resumes, and bridge-role decisions",Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,"Focus on the evidence or professional practice that directly supports “Career integration: portfolio proof, interviews, resumes, and bridge-role decisions.”","After using this reference, be able to locate, explain, or apply: Tailor each project/bullet to the target duties; do not list every project or inflate scope.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=30&stage=career-lesson&lesson=1&section=career-w30-career-integration-portfolio-proof-interviews-resumes-and-bridge-role-de&from=media&mediaWeek=30&media=gatechResumeGuide,YES,NO,PASS
onetTech,NO — existing written source reused,Electrical and Electronic Engineering Technologists and Technicians,O*NET OnLine / U.S. Department of Labor,O*NET OnLine / U.S. Department of Labor,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,30,30,Career,career-w30-target-roles-by-transferable-task-not-title-alone,"Target roles by transferable task, not title alone",Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,"Focus on the evidence or professional practice that directly supports “Target roles by transferable task, not title alone.”","After using this resource, be able to explain or apply: Map only work actually demonstrated.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=30&stage=career-lesson&lesson=1&section=career-w30-target-roles-by-transferable-task-not-title-alone&from=media&mediaWeek=30&media=onetTech,YES,NO,PASS
mitTechnicalPresentation,NO — existing written source reused,Technical Presentation,MIT Mechanical Engineering Communication Lab,MIT Mechanical Engineering Communication Lab,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,30,30,Career,career-w30-defend-the-project-at-30-seconds-2-minutes-and-depth,"Defend the project at 30 seconds, 2 minutes, and depth",Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,"Focus on the evidence or professional practice that directly supports “Defend the project at 30 seconds, 2 minutes, and depth.”","After using this resource, be able to explain or apply: Introduce the expected pattern/measurement logic before showing data, then explain how the observed evidence supports or contradicts the hypothesis instead of narrating screenshots chronologically.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=30&stage=career-lesson&lesson=1&section=career-w30-defend-the-project-at-30-seconds-2-minutes-and-depth&from=media&mediaWeek=30&media=mitTechnicalPresentation,YES,NO,PASS
umichJobSearch,NO — existing written source reused,Search for Jobs or Internships — Strategy and Tracking,University of Michigan Career Center,University of Michigan Career Center,Pre-existing canonical URL preserved in AU-ESET 301 source registry,Existing Professional / Reference Reading,Pre-existing verified access state preserved,31,31,Career,career-w31-use-a-role-filter-before-spending-application-energy,Use a role filter before spending application energy,Taught in,required,YES,Uses the existing canonical Teaching Media read/use guidance for this source.,Focus on the evidence or professional practice that directly supports “Use a role filter before spending application energy.”,"After using this resource, be able to explain or apply: Use the tracker as a feedback instrument: role → application version → response → interview stage → lesson/next change.",Existing verified written source retained as part of the Part 2 companion-reading pathway.,YES,learn.html?week=31&stage=career-lesson&lesson=1&section=career-w31-use-a-role-filter-before-spending-application-energy&from=media&mediaWeek=31&media=umichJobSearch,YES,NO,PASS
litAacDcTextbook,YES,DC Circuits — Free Electronics Textbook,Tony R. Kuphaldt; updated by All About Circuits,All About Circuits,https://www.allaboutcircuits.com/textbook/product/dc-circuits/,Companion Reading,Free online,1,1,CETa,concept-5,Resistance: why the same voltage does not produce the same current everywhere,Taught in,supporting,YES,"Read the entries “Voltage and Current,” “Resistance,” and “Ohm’s Law — How Voltage, Current, and Resistance Relate.”","Follow the physical relationship among voltage, current, and resistance before looking at algebraic rearrangements.","Explain in your own words why increasing resistance reduces current when voltage is fixed, then verify the statement with V = IR.",A second beginner-first written explanation reinforces Alfred’s physical model without replacing it.,NO — conceptual/professional depth,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-5&from=media&mediaWeek=1&media=litAacDcTextbook,YES,NO,PASS
litOpenstaxResistance,YES,Resistivity and Resistance — University Physics Volume 2,OpenStax,OpenStax,https://openstax.org/books/university-physics-volume-2/pages/9-3-resistivity-and-resistance,Companion Reading,Free / OER,1,1,CETa,concept-5,Resistance: why the same voltage does not produce the same current everywhere,Used in,optional,YES,"Read §9.3, especially the distinction among resistance, resistivity, geometry, and material.",Notice that resistance is a property of a particular component geometry while resistivity describes the material.,Give one example of changing resistance by changing material and one by changing geometry.,This university-physics treatment adds a material/geometry perspective beyond the circuit-level model.,NO — conceptual/professional depth,learn.html?week=1&stage=ceta-lesson&lesson=0&section=concept-5&from=media&mediaWeek=1&media=litOpenstaxResistance,YES,NO,PASS
litOpenstaxSeriesParallel,YES,Resistors in Series and Parallel — University Physics Volume 2,OpenStax,OpenStax,https://openstax.org/books/university-physics-volume-2/pages/10-2-resistors-in-series-and-parallel,Companion Reading,Free / OER,2,2,CETa,concept-1,Topology determines what is shared,Used in,supporting,YES,Read §10.2 through the worked series and parallel examples.,Track which quantity is shared in series versus parallel and how equivalent resistance follows from topology.,"Take one Alfred Week 2 network and state, before calculating, which branches share voltage and which elements share current.",OpenStax gives a clean university-level second explanation of series/parallel topology.,NO — conceptual/professional depth,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-1&from=media&mediaWeek=2&media=litOpenstaxSeriesParallel,YES,NO,PASS
litMit6002Notes,YES,6.002 Circuits and Electronics — Lecture Notes,Anant Agarwal and Jeffrey H. Lang / MIT EECS,MIT OpenCourseWare,https://ocw.mit.edu/courses/6-002-circuits-and-electronics-spring-2007/pages/lecture-notes/,Professional Reading,Free online,2,2,CETa,concept-2,Kirchhoff turns conservation into two diagnostic rules,Used in,optional,YES,"Use Lecture 2, “Basic circuit analysis method”; skim Lecture 1 only if the lumped-circuit abstraction is unfamiliar.",Watch how KCL/KVL are used as conservation statements inside a systematic analysis method.,"Write the same KCL or KVL equation Alfred used, but label each term by the conservation law it represents.",MIT provides a rigorous engineering formulation for learners ready for a more formal explanation.,NO — conceptual/professional depth,learn.html?week=2&stage=ceta-lesson&lesson=0&section=concept-2&from=media&mediaWeek=2&media=litMit6002Notes,YES,NO,PASS
litTekXyzScopes,YES,XYZs of Oscilloscopes Primer,Tektronix,Tektronix,https://www.tek.com/en/documents/primer/xyzs-oscilloscopes-primer,Professional Reading,Free online,3,3,CETa,concept-3,An oscilloscope is a voltage-versus-time instrument,Used in,supporting,YES,"Read the primer sections on waveform types, oscilloscope systems/controls, and taking simple measurements.","Vertical scale, horizontal scale, trigger, coupling, and the idea that the scope displays voltage versus time.","Name the first three controls you would adjust when a repeating waveform is off-screen or unstable, and explain why.",A scope manufacturer explains the instrument from the operator’s perspective with diagrams and measurement vocabulary.,YES,learn.html?week=3&stage=ceta-lesson&lesson=0&section=concept-3&from=media&mediaWeek=3&media=litTekXyzScopes,YES,NO,PASS
litTekAbcProbes,YES,ABCs of Probes Primer,Tektronix,Tektronix,https://www.tek.com/en/documents/whitepaper/abcs-probes-primer,Professional Reading,Free online,3,3,Career,career-w03-reference-grounding-loading-and-bandwidth-can-change-the-result,"Reference, grounding, loading, and bandwidth can change the result",Used in,required,YES,"Read “Probing Safety,” then the sections on probe loading, bandwidth, compensation, and selecting a probe.",Identify how the probe itself can alter the circuit or create a misleading measurement.,List two ways a probe can change the result and one safety check that must happen before connecting it.,Probe technique is part of the measurement system; this manufacturer primer makes that professional constraint explicit.,YES,learn.html?week=3&stage=career-lesson&lesson=1&section=career-w03-reference-grounding-loading-and-bandwidth-can-change-the-result&from=media&mediaWeek=3&media=litTekAbcProbes,YES,NO,PASS
litAdiGroundingAgain,YES,Ask the Applications Engineer—12: Grounding (Again),Walt Kester,Analog Devices,https://www.analog.com/en/resources/analog-dialogue/articles/grounding-again.html,Professional Reading,Free online,3,3,Career,career-w03-reference-grounding-loading-and-bandwidth-can-change-the-result,"Reference, grounding, loading, and bandwidth can change the result",Used in,supporting,YES,Read the opening discussion of AGND/DGND labels and the practical grounding explanation; do not treat every layout recommendation as a universal rule.,Separate internal IC ground naming from the external current-return paths that actually create measurement errors.,Explain why “ground” is not automatically one perfect zero-volt point in a real circuit.,Walt Kester directly addresses a confusion many engineers encounter when moving from schematic symbols to real hardware.,YES,learn.html?week=3&stage=career-lesson&lesson=1&section=career-w03-reference-grounding-loading-and-bandwidth-can-change-the-result&from=media&mediaWeek=3&media=litAdiGroundingAgain,YES,NO,PASS
litOpenstaxRc,YES,RC Circuits — University Physics Volume 2,OpenStax,OpenStax,https://openstax.org/books/university-physics-volume-2/pages/10-5-rc-circuits,Companion Reading,Free / OER,4,4,CETa,concept-7,Capacitors oppose instantaneous voltage change,Used in,supporting,YES,Read §10.5 on charging/discharging and the RC time constant.,Track how capacitor voltage changes continuously and how τ = RC sets the timescale rather than an abrupt switching point.,"Predict whether increasing R or C makes a transient slower, then justify the prediction without calculating.",OpenStax provides a mathematically grounded second treatment of RC transient behavior.,NO — conceptual/professional depth,learn.html?week=4&stage=ceta-lesson&lesson=0&section=concept-7&from=media&mediaWeek=4&media=litOpenstaxRc,YES,NO,PASS
litOpenstaxAc,YES,AC Sources — University Physics Volume 2,OpenStax,OpenStax,https://openstax.org/books/university-physics-volume-2/pages/15-1-ac-sources,Companion Reading,Free / OER,4,4,CETa,concept-1,A waveform needs both vertical and horizontal descriptions,Used in,supporting,YES,Read §15.1 on AC sources and sinusoidal voltage.,"Amplitude, frequency, angular frequency, period, and the difference between an instantaneous value and a waveform description.",Take an Alfred waveform and identify which quantities describe vertical magnitude and which describe horizontal timing.,This university text reinforces waveform vocabulary from a physics perspective.,NO — conceptual/professional depth,learn.html?week=4&stage=ceta-lesson&lesson=0&section=concept-1&from=media&mediaWeek=4&media=litOpenstaxAc,YES,NO,PASS
litJplFailureAnalysis,YES,Failure Analysis — Appendix Four,JPL Electronic Parts Engineering,NASA Jet Propulsion Laboratory,https://parts.jpl.nasa.gov/asic/Appendix.4.html,Failure Analysis,Free online,5,5,Career,career-w05-root-cause-requires-verification-after-the-fix,Root cause requires verification after the fix,Used in,required,YES,Read the overview of failure analysis and the distinction between observed failure and underlying cause.,Notice why the visible failed part or symptom is not automatically the root cause.,"For a hypothetical burned resistor, write one symptom statement, two competing causes, and one test that could separate them.",JPL’s professional failure-analysis framing turns Alfred’s troubleshooting logic into a real engineering practice.,YES,learn.html?week=5&stage=career-lesson&lesson=1&section=career-w05-root-cause-requires-verification-after-the-fix&from=media&mediaWeek=5&media=litJplFailureAnalysis,YES,NO,PASS
litAacAcTextbook,YES,AC Circuits — Free Electronics Textbook,Tony R. Kuphaldt; updated by All About Circuits,All About Circuits,https://www.allaboutcircuits.com/textbook/product/ac-circuits/,Companion Reading,Free online,6,6,CETa,concept-1,Reactance is frequency-dependent opposition,Used in,supporting,YES,"Read “AC Inductor Circuits,” “AC Capacitor Circuits,” and “Review of R, X, and Z.”","Relate frequency to reactance and keep resistance, reactance, and impedance conceptually distinct.",Explain why a capacitor and inductor change opposition in opposite directions as frequency rises.,The free electronics textbook gives another electronics-centered explanation of reactance and impedance.,NO — conceptual/professional depth,learn.html?week=6&stage=ceta-lesson&lesson=0&section=concept-1&from=media&mediaWeek=6&media=litAacAcTextbook,YES,NO,PASS
litOpenstaxRlc,YES,RLC Series Circuits with AC — University Physics Volume 2,OpenStax,OpenStax,https://openstax.org/books/university-physics-volume-2/pages/15-3-rlc-series-circuits-with-ac,Companion Reading,Free / OER,6,6,CETa,concept-6,Resonance is cancellation of opposite reactances,Used in,optional,YES,"Read §15.3, concentrating on impedance and phase in a series RLC circuit.",Use the phasor interpretation to see how capacitive and inductive reactance oppose one another.,State what must be true about XL and XC at series resonance and what that means for total impedance.,OpenStax adds a more formal phasor treatment for learners who benefit from a second mathematical representation.,NO — conceptual/professional depth,learn.html?week=6&stage=ceta-lesson&lesson=0&section=concept-6&from=media&mediaWeek=6&media=litOpenstaxRlc,YES,NO,PASS
litAacCapacitorsTextbook,YES,Capacitors — Free Electronics Textbook Topics,Tony R. Kuphaldt; updated by All About Circuits,All About Circuits,https://www.allaboutcircuits.com/textbook/product/capacitors/,Companion Reading,Free online,7,7,CETa,concept-5,"Capacitors: type, variable capacitance, charge, and coulombs",Used in,supporting,YES,"Use “Factors Affecting Capacitance,” “Practical Considerations — Capacitors,” and the capacitor-type entries.","Connect dielectric, geometry, voltage rating, ESR/leakage, and capacitor type to selection rather than treating capacitance alone as sufficient.",Name three capacitor properties besides capacitance that could make a part unsuitable.,This collection turns the ideal capacitor into a real selectable component.,YES,learn.html?week=7&stage=ceta-lesson&lesson=0&section=concept-5&from=media&mediaWeek=7&media=litAacCapacitorsTextbook,YES,NO,PASS
litAacInductorsTextbook,YES,Inductors — Free Electronics Textbook Topics,Tony R. Kuphaldt; updated by All About Circuits,All About Circuits,https://www.allaboutcircuits.com/textbook/product/inductors/,Companion Reading,Free online,7,7,CETa,concept-6,"Inductors and transformers: construction, cores, turns, and laminations",Used in,supporting,YES,"Use “Factors Affecting Inductance,” “Practical Considerations — Inductors,” and “Inductor Transient Response.”","Core material, saturation/current limits, winding resistance, and stored magnetic energy.",Explain why two inductors with the same nominal inductance may behave differently in a power circuit.,The source adds practical component-selection constraints to Alfred’s ideal inductor model.,YES,learn.html?week=7&stage=ceta-lesson&lesson=0&section=concept-6&from=media&mediaWeek=7&media=litAacInductorsTextbook,YES,NO,PASS
litTiInductiveLoads,YES,Faster Switching of Large Inductive Loads in Digital Output Modules,Texas Instruments,Texas Instruments,https://www.ti.com/document-viewer/lit/html/SNVAA45,Applied Reading,Free online,7,7,Career,career-w07-a-relay-coil-is-an-inductive-load,A relay coil is an inductive load,Used in,required,YES,Read the Introduction and the three clamp configurations described for de-energizing inductive loads.,"Stored magnetic energy, negative voltage transient, freewheel/clamp choices, and the speed-versus-voltage-stress tradeoff.","Compare a flyback diode with a higher-voltage clamp: which protects gently, and which releases the load faster?",TI shows exactly how the “inductive load” model changes a real relay/solenoid driver design.,YES,learn.html?week=7&stage=career-lesson&lesson=1&section=career-w07-a-relay-coil-is-an-inductive-load&from=media&mediaWeek=7&media=litTiInductiveLoads,YES,NO,PASS
litTiMosfetSwitchLoss,YES,MOSFET Power Losses and How They Affect Power-Supply Efficiency,Texas Instruments,Texas Instruments,https://www.ti.com/lit/an/slyt666/slyt666.pdf,Professional Reading,Free PDF,8,8,Career,career-w08-gate-drive-and-switching-loss-are-real-design-constraints,Gate drive and switching loss are real design constraints,Used in,required,YES,"Read the article “MOSFET power losses and how they affect power-supply efficiency,” pp. 22–25 of the 1Q 2016 Analog Applications Journal. Focus on conduction loss, switching loss, gate charge, and the RDS(on)/Qg tradeoff; skim the detailed equations on first pass.",A MOSFET can be fully “on” logically yet still dissipate power because switching is not instantaneous and RDS(on) is not zero.,Identify one MOSFET parameter tied mainly to conduction loss and one tied to switching effort.,A manufacturer engineering article converts the ideal switch model into real selection and efficiency tradeoffs.,YES,learn.html?week=8&stage=career-lesson&lesson=1&section=career-w08-gate-drive-and-switching-loss-are-real-design-constraints&from=media&mediaWeek=8&media=litTiMosfetSwitchLoss,YES,NO,PASS
litAacPowerSuppliesTextbook,YES,Power Supplies — Free Electronics Textbook Topics,Tony R. Kuphaldt; updated by All About Circuits,All About Circuits,https://www.allaboutcircuits.com/textbook/product/power-supplies/,Companion Reading,Free online,9,9,CETa,concept-7,Switch-mode power supply operation,Used in,supporting,YES,"Use the entries on rectification/filtering, linear regulation, switching regulation, and battery ratings as a block-by-block companion.","Follow energy from input through conversion, filtering, regulation, and load rather than memorizing isolated component names.",Draw a four-block power path and state what failure symptom each block could create downstream.,This free textbook collection reinforces Alfred’s block-chain view with additional circuit examples.,NO — conceptual/professional depth,learn.html?week=9&stage=ceta-lesson&lesson=0&section=concept-7&from=media&mediaWeek=9&media=litAacPowerSuppliesTextbook,YES,NO,PASS
litAacOpAmpIntro,YES,Introduction to Operational Amplifiers (Op-amps),All About Circuits,All About Circuits,https://www.allaboutcircuits.com/textbook/semiconductors/chpt-8/introduction-operational-amplifiers/,Companion Reading,Free online,10,10,CETa,concept-6,Operational amplifiers and gain analysis,Used in,supporting,YES,"Read “Introduction to Operational Amplifiers,” then stop before advanced practical limitations unless you want extra depth.","Differential inputs, high open-loop gain, negative feedback, and why external components determine closed-loop behavior.",Explain why “the op-amp makes the inputs equal” is a useful approximation only when negative feedback and operating limits support it.,The free textbook offers a second intuitive entrance to the op-amp abstraction.,NO — conceptual/professional depth,learn.html?week=10&stage=ceta-lesson&lesson=0&section=concept-6&from=media&mediaWeek=10&media=litAacOpAmpIntro,YES,NO,PASS
litAacDigitalTextbook,YES,Digital Circuits — Free Electronics Textbook,Tony R. Kuphaldt; updated by All About Circuits,All About Circuits,https://www.allaboutcircuits.com/textbook/digital/,Companion Reading,Free online,11,11,CETa,concept-4,"Logic gates, truth tables, and flip-flops",Used in,supporting,YES,"Use the chapters on logic gates, combinational logic, and sequential circuits as a written companion; do not attempt the entire digital textbook at once.",Truth tables describe logic relationships; sequential elements add state/history.,Choose one combinational and one sequential example and explain what extra information the sequential case needs.,A full free digital textbook gives a coherent written path that can stand beside Alfred’s logic sequence.,NO — conceptual/professional depth,learn.html?week=11&stage=ceta-lesson&lesson=0&section=concept-4&from=media&mediaWeek=11&media=litAacDigitalTextbook,YES,NO,PASS
litAacDigitalSignalsGates,YES,Digital Signals and Gates,All About Circuits,All About Circuits,https://www.allaboutcircuits.com/textbook/digital/chpt-3/digital-signals-gates/,Companion Reading,Free online,11,11,CETa,concept-2,Logic gates implement conditions,Used in,supporting,YES,Read the digital signals/gates section through the first gate truth-table examples.,"The physical voltage signal is mapped into a logical state; “1” and “0” are abstractions, not literal voltages.",Explain why a logic HIGH specification must be a voltage range rather than one exact value.,This short reading is a useful “make it click” bridge from electrical voltage to Boolean logic.,NO — conceptual/professional depth,learn.html?week=11&stage=ceta-lesson&lesson=0&section=concept-2&from=media&mediaWeek=11&media=litAacDigitalSignalsGates,YES,NO,PASS
litMitMissingSemester,YES,The Missing Semester of Your CS Education — 2026 Written Lectures,MIT CSAIL / SIPB instructors,MIT,https://missing.csail.mit.edu/2026/,Applied Reading,Free online,12,12,Career,career-w12-command-line-navigation-is-a-small-reproducibility-tool-not-assumed-know,"Command-line navigation is a small reproducibility tool, not assumed knowledge",Used in,supporting,YES,Read the 2026 “Course Overview + Introduction to the Shell” and “Command-line Environment” lecture pages only.,"Directories, paths, commands, redirection/pipes, and why repeatable terminal steps become part of technical evidence.","Write a three-command sequence that moves to a project folder, lists its contents, and records one useful command/output in your lab notes.",MIT’s current written tooling course gives professional context to Alfred’s deliberately small command-line introduction.,YES,learn.html?week=12&stage=career-lesson&lesson=1&section=career-w12-command-line-navigation-is-a-small-reproducibility-tool-not-assumed-know&from=media&mediaWeek=12&media=litMitMissingSemester,YES,NO,PASS
litAacTestMeasurementTextbook,YES,Test & Measurement — Free Electronics Textbook Topics,Tony R. Kuphaldt; updated by All About Circuits,All About Circuits,https://www.allaboutcircuits.com/textbook/product/test-measurement/,Companion Reading,Free online,13,13,Career,career-w13-choose-a-high-information-test,Choose a high-information test,Used in,supporting,YES,"Use the entries on voltmeters, multimeters, meter loading, and measurement circuits; choose only the instrument concepts relevant to your fault hypothesis.",A measurement tool changes the circuit and has limits; good troubleshooting asks whether a measurement meaningfully separates hypotheses.,"For one fault hypothesis, name a measurement that would strongly distinguish it from the alternative and explain why.","The free test/measurement collection reinforces that instruments are part of the experiment, not passive truth machines.",YES,learn.html?week=13&stage=career-lesson&lesson=1&section=career-w13-choose-a-high-information-test&from=media&mediaWeek=13&media=litAacTestMeasurementTextbook,YES,NO,PASS
litArmCortexMBeginners,YES,Cortex-M for Beginners — Processor Family Overview,Joseph Yiu / Arm,Arm,https://developer.arm.com/community/arm-community-blogs/b/architectures-and-processors-blog/posts/white-paper-cortex-m-for-beginners-an-overview-of-the-arm-cortex-m-processor-family-and-comparison,Professional Reading,Free online,14,14,CETa,concept-4,"Computer architecture, CPU blocks, memory, block diagrams, and flowcharts",Used in,optional,YES,"Read the overview/feature comparison; focus on processor core, memory/system features, interrupts, and debug/trace—not on choosing among every Cortex-M generation.",Separate the CPU core from the peripherals and system around it.,Describe what “Cortex-M” tells you about the processor and what it does not tell you about a complete microcontroller.,Arm provides the professional architecture vocabulary behind the MCU abstractions Alfred begins introducing.,YES,learn.html?week=14&stage=ceta-lesson&lesson=0&section=concept-4&from=media&mediaWeek=14&media=litArmCortexMBeginners,YES,NO,PASS
litSparkfunUart,YES,Serial Communication — UARTs,SparkFun Education,SparkFun,https://learn.sparkfun.com/tutorials/serial-communication/uarts,Companion Reading,Free online,17,17,CETa,concept-1,UART shares timing rules instead of a clock wire,Used in,supporting,YES,"Read the UART section on data framing, baud rate, start/stop bits, and TX/RX connections.",UART has no shared clock; both endpoints must agree on timing and framing.,"Write a complete example UART contract: baud, data bits, parity, stop bits, and which endpoint TX connects to.",A concise practitioner tutorial provides an alternate written explanation many beginners find easier than a protocol specification.,NO — conceptual/professional depth,learn.html?week=17&stage=ceta-lesson&lesson=0&section=concept-1&from=media&mediaWeek=17&media=litSparkfunUart,YES,NO,PASS
litSparkfunI2c,YES,I2C — Written Tutorial,SparkFun Education,SparkFun,https://learn.sparkfun.com/tutorials/i2c,Companion Reading,Free / CC BY-SA,18,18,CETa,concept-7,I2C uses shared open-drain lines and addressing,Used in,supporting,YES,"Read “I2C at the Hardware Level,” “I2C at the Protocol Level,” and the addressing/ACK discussion.","Open-drain shared lines, pull-ups, START/STOP, address, read/write bit, ACK/NACK.",Describe one valid I²C byte transaction in order from START through STOP.,A beginner-friendly written tutorial provides the intuitive layer before the formal NXP specification.,NO — conceptual/professional depth,learn.html?week=18&stage=ceta-lesson&lesson=0&section=concept-7&from=media&mediaWeek=18&media=litSparkfunI2c,YES,NO,PASS
litNxpI2cSpec,YES,UM10204 — I2C-bus Specification and User Manual,NXP Semiconductors,NXP Semiconductors,https://www.nxp.com/webapp/Download?colCode=UM10204&location=null,Professional Reference,Free PDF,18,18,Career,career-w18-translate-one-i2c-datasheet-into-a-wiring-and-transaction-contract,Translate one I²C datasheet into a wiring and transaction contract,Used in,required,YES,"Use UM10204 §§3.1.3–3.1.6 for data validity, START/STOP, byte format, and ACK/NACK; §3.1.10 for the 7-bit target address/R/W bit; then Table 11 for Standard/Fast-mode timing. Do not read the manual cover-to-cover.","Canonical meanings of SDA/SCL behavior, ACK/NACK, bus free/busy, and timing limits.",Take Alfred’s I²C transaction and annotate which parts are defined by the NXP bus specification versus the peripheral’s own datasheet.,This is the authority source for the I²C bus itself and teaches professional specification-reading discipline.,YES,learn.html?week=18&stage=career-lesson&lesson=1&section=career-w18-translate-one-i2c-datasheet-into-a-wiring-and-transaction-contract&from=media&mediaWeek=18&media=litNxpI2cSpec,YES,NO,PASS
litAdiSpiIntro,YES,Introduction to SPI Interface,Piyu Dhaker,Analog Devices,https://www.analog.com/en/resources/analog-dialogue/articles/introduction-to-spi-interface.html,Companion Reading,Free online,18,18,Career,career-w18-only-now-generalize-the-model-to-spi,Only now generalize the model to SPI,Used in,supporting,YES,"Read the interface overview, the four signal definitions, and the clock polarity/phase discussion.","SCLK, CS, MOSI, MISO, full duplex behavior, and why CPOL/CPHA must match at both ends.",State three ways SPI differs from I²C in wiring or transaction control.,Analog Devices provides a concise professional explanation after the learner already owns the I²C comparison model.,NO — conceptual/professional depth,learn.html?week=18&stage=career-lesson&lesson=1&section=career-w18-only-now-generalize-the-model-to-spi&from=media&mediaWeek=18&media=litAdiSpiIntro,YES,NO,PASS
litFoaFiberBasics,YES,Fiber Optics: Basic Overview,The Fiber Optic Association,The Fiber Optic Association,https://www.foa.org/tech/ref/basic/basics.html,Professional Reading,Free online,19,19,CETa,concept-5,"Coax, copper pairs, fiber, impedance, and termination",Used in,supporting,YES,"Read “Basic Overview,” then follow only the sections on cable/fiber structure, connectors/splicing, and testing that match Week 19.","Core/cladding, transmission path, connector/splice loss, and why inspection/testing are part of the link.",Draw a simple optical link and mark three places where loss or a defect can enter.,"FOA is a professional association whose free reference material is written for technicians, installers, and educators.",YES,learn.html?week=19&stage=ceta-lesson&lesson=0&section=concept-5&from=media&mediaWeek=19&media=litFoaFiberBasics,YES,NO,PASS
