Week,Track,Lesson title,Topic-specific substantive word count,Actual concepts taught,Worked examples present?,Real visual needed?,Real visual present?,Guided practice present?,Actual independent scenario present?,Subject-specific misconceptions?,Subject-specific career/application connection?,Knowledge checks?,Teach-back?,External resource dependency?,Template-content concern?,Final verdict
18,Career,Datasheet-to-wire integration and bus fault isolation,1184,"Write the transaction before the driver; A decoder is an assistant, not an oracle; Bus symptoms map to different layers; Career integration: UART, I²C, SPI, datasheets, and protocol captures; Translate a datasheet into a wiring contract; Bring up the smallest meaningful transaction; Fault isolation follows layers",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w18-peripheral-stack.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
19,CETa,"Media, connectors, signal paths, and optical fundamentals",2335,"Choose media from signal, environment, and termination; Audio and video systems are source–processing–path–load chains; Optical links move modulated light through a controlled path; Wire construction, gauge, and identification; Coax, copper pairs, fiber, impedance, and termination; Bonding, splicing, crimping, and cable preparation; Cable testing, dB loss, connectors, and defects; Audio/video blocks, microphones, speakers, recording and playback; Interfacing, distortion, conflicts, fault isolation, and signal levels; Display technologies: LED, seven-segment, LCD, OLED, and tradeoffs; Photovoltaic cells, photodiodes, phototransistors, LDRs, materials, and symbols; Cameras, opto-isolators, and broadband optical links; Transmission media change the physical path, not the information goal; Connectors and terminations are part of signal integrity; Optical and display devices convert between energy forms",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w19-media-opto.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
19,Career,"Terminate, inspect, continuity-test, and isolate a connection fault",1022,"Mechanical workmanship is electrical reliability; Choose tests by failure mode; Report what you actually demonstrated; Termination quality is a process, not a beep; Use end-to-end and sectional tests to isolate cable faults; Document orientation and reference",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w19-harness-test.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
20,CETa,"RF, modulation, antennas, transmission, and telecom blocks",1930,"RF behavior depends on frequency and physical geometry; Modulation places information on a carrier; Telecom systems remain source–network–destination chains; Wave propagation, fields, polarization, and wavelength; Antennas, feedlines, impedance matching, SWR/VSWR, and feedline types; Modulation, communications receivers, and radio usage; Spectrum bands and radio tuning/alignment; Two-way, cellular/wireless, and satellite communications; Wired data/voice networks and POTS; RF systems move information through electromagnetic energy; Feedlines have characteristic impedance; Modulation and receivers transform representation; Telecom networks add infrastructure",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w20-rf-system.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
20,Career,"Measurement procedure, spectrum interpretation, and technical handoff",1117,"Instrument settings define what can be seen; Classify before explaining; Professional procedure preserves continuity across people; A measurement procedure is a controlled contract; Interpret markers in relation to requirements; A useful handoff separates observation, interpretation, and escalation",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w20-spectrum-handoff.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
21,CETa,Interleaved recall across all CETa domains,1137,"Breadth requires selection practice; Coverage and mastery are different; Repair the cause, not the score; Mixed recall should begin with classification; Use a compact scratch framework; Turn misses into a standards repair map",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w21-model-router.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
21,Career,Turn broad theory into rapid technician choices,1036,Technician fluency is organized breadth; Oral explanation exposes fragile knowledge; Fast documentation is still structured; Technician speed comes from choosing the next useful action; Use bounded decision trees rather than giant checklists; Communicate the decision boundary,Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w21-tech-decision-tree.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
22,CETa,Targeted repair and readiness evidence,1092,"Prioritize by consequence and evidence; Corrective instruction must differ from the failed attempt; Readiness is a decision under uncertainty; Prioritize gaps by risk and recurrence; Corrective instruction should differ from the failed attempt; Readiness is broad, recent evidence; Repair the cause of a miss, not the chapter label",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w22-repair-map.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
22,Career,Write requirements and verification before building,1117,"A requirement describes observable behavior and conditions; Verification asks whether it meets the requirement; Traceability controls scope; Career integration: Git, command line, lab notes, reports, and technical handoff; A requirement describes observable behavior under conditions; Verification, validation, characterization, and troubleshooting answer different questions; Traceability controls project scope",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w22-requirement-trace.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
23,CETa,Execute the final readiness gate without gaming it,1096,Protect the independence of the gate; Read beyond the total score; The correct decision may be “not enough evidence yet”; A readiness gate must protect against self-deception; Analyze the score beneath the headline; Two strong runs reduce one-form luck; What makes CETa readiness evidence independent,Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w23-readiness-gate.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
23,Career,Create a controlled project baseline before hardware bring-up,1079,A repository is the project’s reconstructable memory; A bill of materials must resolve ambiguity; Plan first power as a test case; A baseline is a recoverable state; BOM and compatibility checks prevent avoidable failures; Recovery paths are part of readiness; A controlled baseline isolates future change; Baseline acceptance criteria make “ready” testable,Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w23-project-baseline.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
24,CETa,"Retention: safe power, rails, current, and instrument choices",1095,Bring-up applies the same laws at a larger boundary; Current signature is an early system state; Safety gates remain absolute; Power retention should be practiced as one chain; Measurement mode can create the fault you are trying to find; Power numbers need plausibility checks; Power faults leave different electrical signatures,Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w24-safe-power.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
24,Career,Execute staged first power and establish a known-good baseline,1061,Unpowered checks find cheap faults; Bring up dependencies in order; A baseline includes recovery; First power is a controlled experiment; Prove dependencies in order; Create a known-good electrical baseline; First power is a controlled experiment,Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w24-bringup-dependencies.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
25,CETa,"Retention: interface circuitry, conversion, and optical/isolation context",1095,Interface electronics reconcile incompatible assumptions; Data conversion is a measurement chain; Isolation changes reference relationships; Conversion circuitry connects incompatible domains; Interfaces should be verified at both sides of the boundary; Optical isolation solves one problem while creating design constraints,Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w25-conversion-chain.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
25,Career,Integrate one peripheral through a controlled vertical slice,1060,Build a thin end-to-end slice first; Triangulate with independent evidence; Failure behavior is part of the feature; A vertical slice proves one complete path; Define the slice's checkpoints; Fault injection makes the slice diagnostic; A vertical slice proves one complete peripheral path,Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w25-vertical-slice.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
26,CETa,"Retention: logic, registers, memory, and computer blocks",1036,Firmware state is physical state encoded in bits; Memory and time define embedded correctness; Digital logic still governs software decisions; Keep data representation tied to storage and hardware; Memory and register views answer different questions; Computer and embedded fault reasoning follows state transitions,Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w26-state-memory.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
26,Career,"Separate drivers, application state, diagnostics, and recovery",1027,Architecture follows responsibilities and test seams; Timeouts and error states make absence observable; Diagnostics must survive the failure they describe; Separate hardware access from application decisions; Make errors explicit and recoverable; Diagnostics should expose state without becoming the design,Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w26-firmware-layers.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
27,CETa,"Retention: computer applications, data, ports, and calculation integrity",1016,"Applications depend on layered computer services; Files and records require structure; Automation can repeat a mistake perfectly; Technician computing is about reproducible operation; Data must keep units, metadata, and provenance; Calculation integrity means estimating before trusting software",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w27-data-integrity.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
27,Career,Design a maintainable automated hardware test,1143,"A test is a controlled state machine; Verdicts need explicit semantics; Plots reveal patterns; they do not define requirements; Career integration: Python hardware-test automation and data integrity; A hardware test has setup, stimulus, acquisition, evaluation, and cleanup; Pass/fail rules must be explicit and boundary-tested; Maintainability means one source of truth for configuration",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w27-hw-test-loop.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
28,CETa,"Retention: diagrams, test equipment, records, and procedure",1364,"A test point is valuable when its expected result is known; Instrument capability must match the phenomenon; Records convert individual work into organizational evidence; Service business records, invoices, productivity, and estimates/test planning; Service literature, parts cross-reference, and manufacturer support; Field versus shop procedure and project management; Service procedure turns a fault into repeatable work; Records are part of technical performance; Field versus shop changes constraints, not physics",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w28-service-procedure.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
28,Career,Design controlled faults and write a defensible report,1076,"Fault injection validates the detector and diagnostic path; Root cause survives controlled reversal; A report supports decisions, not just a story; Career integration: verification, validation, test design, and traceability; Controlled fault injection needs a known-good baseline; The report should show the reasoning chain; Regression proves the correction did not create a new problem",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w28-fault-report.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
29,CETa,"Retention: workmanship, cabling, measurement, and safety",1079,"Workmanship criteria are observable, not aesthetic preference; Instrument evidence should tell one coherent story; Physical safety and ESD remain active through rework; Workmanship evidence combines inspection and electrical verification; Measurement setup is part of workmanship verification; Safety and quality interact; Workmanship is verified by condition plus electrical evidence",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w29-workmanship-evidence.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
29,Career,Assemble an employer-facing role-proof dossier,1080,"Select evidence by job task, not visual appeal; Make each artifact self-explanatory; Truthful scope is part of technical credibility; Every skill claim should point to evidence; Separate participation from demonstrated competence; Organize for a hiring manager, not for course chronology; An evidence hierarchy makes a portfolio claim believable",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w29-evidence-map.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
30,CETa,Retention: mixed technical explanations and exam maintenance,1047,"Maintenance is targeted and spaced; Teach-back prepares both exam and interview; Credential language must match reality; Maintain concepts through explanation, not answer-position memory; Use mixed calculations as calibration; Practice distractor analysis; Retention maintenance is a closed-loop error-correction process",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w30-mixed-retention.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
30,Career,Build an evidence-first application and interview package,1146,"A resume bullet is a compact evidence claim; Tell the transition as continuity, not apology; Defend the project at 30 seconds, 2 minutes, and depth; Career integration: portfolio proof, interviews, resumes, and bridge-role decisions; Target roles by transferable task, not title alone; Interview answers should expose technical decisions; Career green-light uses fit, stability, and technical value",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w30-career-greenlight.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
31,CETa,Retention: protect certification knowledge after the course,1064,"Completion is not permanent retention; Revalidation requires fresh performance; Official information can change; Retention needs spaced retrieval, not permanent cramming; Keep official information separate from course memory; Maintenance should follow evidence; Post-course retention follows evidence, not a fixed cram schedule",Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w31-retention-loop.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
31,Career,Run applications as an evidence-and-feedback loop,1071,Use a role filter before spending application energy; Track outcomes without turning them into self-judgment; Repair narrowly and return to the market; Track applications as experiments; Change one weak variable at a time; Continue building toward embedded systems through work plus school,Yes — 2 subject-specific worked examples,Yes — a concept/process representation materially supports this lesson,Yes — w31-career-feedback.svg,Yes — 3 concrete tasks with actual values/conditions/questions,Yes — changed scenario supplied in the lesson,Yes — 2 topic-specific misconception/repair pairs,Yes — named technician/embedded use rather than generic role prose,Yes — existing primary gate + 2 integrated checks,Yes — topic-specific prompt,No — external media follows Alfred instruction as reinforcement/reference,"PASS — structure repeats, technical prose passed duplicate/similarity review",PASS
