Week,Track,Section ID,Major Concept / Section,Alfred Instruction,Video Support,Literature Support,Literature Resources,Practical / Application,Coverage Decision
17,CETa,concept-5,"Program installation, utilities, backups, downloads, and recovery",YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
17,CETa,concept-6,Surges versus malware and practical cybersecurity/network use,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
17,Career,career-w17-define-the-serial-contract-before-writing-the-client,Define the serial contract before writing the client,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
17,Career,career-w17-use-pyserial-as-a-visible-port-bytes-message-pipeline,Use pySerial as a visible port → bytes → message pipeline,YES,NO — Alfred/other media remains sufficient for this section,YES,pySerial Documentation,YES,PASS — written companion selected
18,CETa,concept-4,"Signal levels, connectors, grounding, mismatch, and conflict symptoms",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
18,CETa,concept-5,"USB, I2C, and Zigbee interfaces",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
18,CETa,concept-7,I2C uses shared open-drain lines and addressing,YES,NO — Alfred/other media remains sufficient for this section,YES,I2C — Written Tutorial,CONCEPTUAL FOUNDATION,PASS — written companion selected
18,Career,career-w18-i-do-prove-an-i2c-identity-register-read-end-to-end,I DO: prove an I²C identity-register read end to end,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
18,Career,career-w18-learn-the-logic-analyzer-on-that-known-good-i2c-transaction,Learn the logic analyzer on that known-good I²C transaction,YES,NO — Alfred/other media remains sufficient for this section,YES,I2C Analyzer — User Guide,YES,PASS — written companion selected
18,Career,career-w18-only-now-generalize-the-model-to-spi,Only now generalize the model to SPI,YES,NO — Alfred/other media remains sufficient for this section,YES,Introduction to SPI Interface,YES,PASS — written companion selected
18,Career,career-w18-run-one-small-spi-comparison-transaction,Run one small SPI comparison transaction,YES,NO — Alfred/other media remains sufficient for this section,YES,SPI Analyzer — User Guide,YES,PASS — written companion selected
18,Career,career-w18-translate-one-i2c-datasheet-into-a-wiring-and-transaction-contract,Translate one I²C datasheet into a wiring and transaction contract,YES,YES,YES,UM10204 — I2C-bus Specification and User Manual,YES,PASS — written companion selected
19,CETa,concept-10,"Display technologies: LED, seven-segment, LCD, OLED, and tradeoffs",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
19,CETa,concept-11,"Photovoltaic cells, photodiodes, phototransistors, LDRs, materials, and symbols",YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
19,CETa,concept-12,"Cameras, opto-isolators, and broadband optical links",YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
19,CETa,concept-5,"Coax, copper pairs, fiber, impedance, and termination",YES,YES,YES,Fiber Optics: Basic Overview,YES,PASS — written companion selected
19,CETa,concept-6,"Bonding, splicing, crimping, and cable preparation",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
19,CETa,concept-7,"Cable testing, dB loss, connectors, and defects",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
19,CETa,concept-8,"Audio/video blocks, microphones, speakers, recording and playback",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
19,CETa,concept-9,"Interfacing, distortion, conflicts, fault isolation, and signal levels",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
20,CETa,concept-1,RF behavior depends on frequency and physical geometry,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
20,CETa,concept-10,RF systems move information through electromagnetic energy,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
20,CETa,concept-12,Modulation and receivers transform representation,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
20,CETa,concept-5,"Antennas, feedlines, impedance matching, SWR/VSWR, and feedline types",YES,NO — Alfred/other media remains sufficient for this section,YES,What Is a Transmission Line?,YES,PASS — written companion selected
20,CETa,concept-8,"Two-way, cellular/wireless, and satellite communications",YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
20,CETa,concept-9,Wired data/voice networks and POTS,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
20,Career,career-w20-a-spectrum-analyzer-shows-signal-energy-versus-frequency,A spectrum analyzer shows signal energy versus frequency,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
20,Career,career-w20-classify-spectral-features-before-explaining-their-cause,Classify spectral features before explaining their cause,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
21,CETa,concept-1,Breadth requires selection practice,YES,YES,YES,Effective Study Strategies,CONCEPTUAL FOUNDATION,PASS — written companion selected
21,CETa,concept-3,"Repair the cause, not the score",YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
21,CETa,concept-5,Use a compact scratch framework,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
21,CETa,concept-6,Turn misses into a standards repair map,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
22,Career,career-w22-a-requirement-describes-observable-behavior-and-conditions,A requirement describes observable behavior and conditions,YES,YES,YES,NASA Systems Engineering Handbook Appendix — How to Write a Good Requirement; How to Write a Good Requirement,YES,PASS — written companion selected
22,Career,career-w22-career-integration-git-command-line-lab-notes-reports-and-technical-hand,"Career integration: Git, command line, lab notes, reports, and technical handoff",YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
22,Career,career-w22-traceability-controls-scope,Traceability controls scope,YES,NO — Alfred/other media remains sufficient for this section,YES,NASA Systems Engineering Handbook,YES,PASS — written companion selected
22,Career,career-w22-verification-asks-whether-it-meets-the-requirement,Verification asks whether it meets the requirement,YES,YES,YES,NASA Systems Engineering Handbook — Appendix,YES,PASS — written companion selected
23,Career,career-w23-a-baseline-is-a-recoverable-state,A baseline is a recoverable state,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
23,Career,career-w23-a-bill-of-materials-must-resolve-ambiguity,A bill of materials must resolve ambiguity,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
23,Career,career-w23-a-controlled-baseline-isolates-future-change,A controlled baseline isolates future change,YES,NO — Alfred/other media remains sufficient for this section,YES,NASA Systems Engineering Handbook,YES,PASS — written companion selected
23,Career,career-w23-a-repository-is-the-projects-reconstructable-memory,A repository is the project’s reconstructable memory,YES,NO — Alfred/other media remains sufficient for this section,YES,Introduction to Git; NASA Systems Engineering Handbook — 6.5 Configuration Management; The Missing Semester of Your CS Education — 2026 Written Lectures,YES,PASS — written companion selected
23,Career,career-w23-plan-first-power-as-a-test-case,Plan first power as a test case,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
23,Career,career-w23-recovery-paths-are-part-of-readiness,Recovery paths are part of readiness,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
24,CETa,concept-3,Safety gates remain absolute,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
24,Career,career-w24-bring-up-dependencies-in-order,Bring up dependencies in order,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
24,Career,career-w24-first-power-is-a-controlled-experiment,First power is a controlled experiment,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
24,Career,career-w24-unpowered-checks-find-cheap-faults,Unpowered checks find cheap faults,YES,NO — Alfred/other media remains sufficient for this section,YES,How to Use a Multimeter — Comprehensive Guide,YES,PASS — written companion selected
25,CETa,concept-3,Isolation changes reference relationships,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
25,CETa,concept-6,Optical isolation solves one problem while creating design constraints,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
25,Career,career-w25-build-a-thin-end-to-end-slice-first,Build a thin end-to-end slice first,YES,YES,YES,CN0314 — Configurable 4–20 mA Loop Powered Transmitter/Receiver,YES,PASS — written companion selected
25,Career,career-w25-failure-behavior-is-part-of-the-feature,Failure behavior is part of the feature,YES,NO — Alfred/other media remains sufficient for this section,YES,R049 — Missing Software Sensor Range Checking Capabilities,YES,PASS — written companion selected
25,Career,career-w25-triangulate-with-independent-evidence,Triangulate with independent evidence,YES,YES,YES,Introduction to Digital-Analog Conversion; ADALM2000 Activity: Analog-to-Digital Conversion,YES,PASS — written companion selected
26,CETa,concept-2,Memory and time define embedded correctness,YES,YES,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
26,Career,career-w26-architecture-follows-responsibilities-and-test-seams,Architecture follows responsibilities and test seams,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
26,Career,career-w26-diagnostics-must-survive-the-failure-they-describe,Diagnostics must survive the failure they describe,YES,YES,YES,A Deep Dive into ARM Cortex-M Debug Interfaces,YES,PASS — written companion selected
26,Career,career-w26-make-errors-explicit-and-recoverable,Make errors explicit and recoverable,YES,YES,YES,How to Debug a HardFault on an ARM Cortex-M MCU,YES,PASS — written companion selected
26,Career,career-w26-separate-hardware-access-from-application-decisions,Separate hardware access from application decisions,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
26,Career,career-w26-timeouts-and-error-states-make-absence-observable,Timeouts and error states make absence observable,YES,NO — Alfred/other media remains sufficient for this section,YES,Getting Started with STM32 Watchdogs; A Guide to Watchdog Timers for Embedded Systems,YES,PASS — written companion selected
27,Career,career-w27-a-test-case-has-setup-stimulus-acquisition-evaluation-cleanup-and-report,"A test case has setup, stimulus, acquisition, evaluation, cleanup, and report stages",YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
27,Career,career-w27-automated-test-is-still-a-physical-measurement-system,Automated test is still a physical measurement system,YES,NO — Alfred/other media remains sufficient for this section,YES,pySerial Documentation,YES,PASS — written companion selected
27,Career,career-w27-career-integration-python-hardware-test-automation-and-data-integrity,Career integration: Python hardware-test automation and data integrity,YES,NO — Alfred/other media remains sufficient for this section,YES,Instrument Control and Automation with Python,YES,PASS — written companion selected
27,Career,career-w27-summaries-and-plots-answer-a-hardware-question,Summaries and plots answer a hardware question,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
27,Career,career-w27-verdicts-need-explicit-semantics,Verdicts need explicit semantics,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
28,CETa,concept-4,"Service business records, invoices, productivity, and estimates/test planning",YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
28,CETa,concept-5,"Service literature, parts cross-reference, and manufacturer support",YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
28,CETa,concept-6,Field versus shop procedure and project management,YES,NO — Alfred/other media remains sufficient for this section,YES,NASA Systems Engineering Handbook — 6.1 Technical Planning,YES,PASS — written companion selected
28,CETa,concept-9,"Field versus shop changes constraints, not physics",YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
28,Career,career-w28-career-integration-verification-validation-test-design-and-traceability,"Career integration: verification, validation, test design, and traceability",YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
28,Career,career-w28-controlled-fault-injection-needs-a-known-good-baseline,Controlled fault injection needs a known-good baseline,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
28,Career,career-w28-fault-injection-validates-the-detector-and-diagnostic-path,Fault injection validates the detector and diagnostic path,YES,NO — Alfred/other media remains sufficient for this section,YES,Using Fault Insertion Units for Electronic Testing,YES,PASS — written companion selected
28,Career,career-w28-root-cause-survives-controlled-reversal,Root cause survives controlled reversal,YES,YES,YES,Failure Analysis — Appendix Four,YES,PASS — written companion selected
28,Career,career-w28-the-report-should-show-the-reasoning-chain,The report should show the reasoning chain,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
29,CETa,concept-1,"Workmanship criteria are observable, not aesthetic preference",YES,NO — Alfred/other media remains sufficient for this section,YES,Adafruit Guide to Excellent Soldering — Common Soldering Problems,YES,PASS — written companion selected
29,CETa,concept-2,Instrument evidence should tell one coherent story,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
29,CETa,concept-3,Physical safety and ESD remain active through rework,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
29,CETa,concept-5,Measurement setup is part of workmanship verification,YES,NO — Alfred/other media remains sufficient for this section,YES,How to Use an Oscilloscope and Probe — Step-by-Step Tutorial; ABCs of Probes Primer,YES,PASS — written companion selected
29,CETa,concept-7,Workmanship is verified by condition plus electrical evidence,YES,NO — Alfred/other media remains sufficient for this section,YES,"NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring",YES,PASS — written companion selected
29,Career,career-w29-select-evidence-by-job-task-not-visual-appeal,"Select evidence by job task, not visual appeal",YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
30,CETa,concept-3,Credential language must match reality,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
30,Career,career-w30-a-resume-bullet-is-a-compact-evidence-claim,A resume bullet is a compact evidence claim,YES,YES,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
30,Career,career-w30-career-integration-portfolio-proof-interviews-resumes-and-bridge-role-de,"Career integration: portfolio proof, interviews, resumes, and bridge-role decisions",YES,NO — Alfred/other media remains sufficient for this section,YES,Georgia Tech Career Center Resume Guide,YES,PASS — written companion selected
30,Career,career-w30-defend-the-project-at-30-seconds-2-minutes-and-depth,"Defend the project at 30 seconds, 2 minutes, and depth",YES,YES,YES,Technical Presentation,YES,PASS — written companion selected
30,Career,career-w30-interview-answers-should-expose-technical-decisions,Interview answers should expose technical decisions,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,YES,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
30,Career,career-w30-target-roles-by-transferable-task-not-title-alone,"Target roles by transferable task, not title alone",YES,NO — Alfred/other media remains sufficient for this section,YES,Electrical and Electronic Engineering Technologists and Technicians,YES,PASS — written companion selected
31,CETa,concept-3,Official information can change,YES,NO — Alfred/other media remains sufficient for this section,NO SEPARATE READING — no filler resource added,,CONCEPTUAL FOUNDATION,PASS — no separate reading justified at this sub-section; broader week/domain literature remains available
31,CETa,concept-4,"Retention needs spaced retrieval, not permanent cramming",YES,YES,YES,Effective Study Strategies,CONCEPTUAL FOUNDATION,PASS — written companion selected
31,Career,career-w31-use-a-role-filter-before-spending-application-energy,Use a role filter before spending application energy,YES,YES,YES,Search for Jobs or Internships — Strategy and Tracking,YES,PASS — written companion selected
