ID,Previous Standard,Final Standard,Status,Source Relationship,Primary Source ID,Primary Source,Primary Source URL,Secondary Source IDs,Secondary Sources / URLs,Why Relevant,Alfred Adaptation,Prerequisites,Instructional Home,First Curriculum Use Week,Primary Mastery Week,Semantic Task ID,Evidence Route
C4.5,"Document rework with before/after evidence, component orientation, and verification measurements.","Document rework with before/after evidence, component orientation, and verification measurements.",KEEP,Informed by,gptcElectronics,Georgia Piedmont Technical College — Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,nasaHarness; nasaESD; onetTech,"NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring | https://standards.nasa.gov/standard/NASA/NASA-STD-87394; NASA — NASA-HDBK-8739.21 — ESD Control | https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians | https://www.onetonline.org/link/summary/17-3023.00",Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,Relevant CETa workmanship/component/interconnect instruction; C1 ESD/safety habits,Week 12 Career — Career integration: solder/rework workmanship and traceable physical change,12,12,SEM-C4-12-1640A,Week 12 · Career integration: solder/rework workmanship and traceable physical change · required elements: Identify acceptable/defective solder evidence; Safe through-hole/basic SMT rework sequence; Before/after orientation and verification evidence; Repair-versus-replace/escalate boundary
C4.6,"Explain when a damaged pad, trace, connector, or harness should be repaired, replaced, or escalated rather than improvised.","Explain when a damaged pad, trace, connector, or harness should be repaired, replaced, or escalated rather than improvised.",KEEP,Informed by,gptcElectronics,Georgia Piedmont Technical College — Electronics Technology — current catalog,https://www.gptc.edu/college-catalog/current/programs/electronics-technology,nasaHarness; nasaESD; onetTech,"NASA — NASA-STD-8739.4 — Crimping, Cables, Harnesses, and Wiring | https://standards.nasa.gov/standard/NASA/NASA-STD-87394; NASA — NASA-HDBK-8739.21 — ESD Control | https://standards.nasa.gov/standard/NASA/NASA-HDBK-873921; O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians | https://www.onetonline.org/link/summary/17-3023.00",Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,Relevant CETa workmanship/component/interconnect instruction; C1 ESD/safety habits,Week 12 Career — Career integration: solder/rework workmanship and traceable physical change,12,12,SEM-C4-12-1640A,Week 12 · Career integration: solder/rework workmanship and traceable physical change · required elements: Identify acceptable/defective solder evidence; Safe through-hole/basic SMT rework sequence; Before/after orientation and verification evidence; Repair-versus-replace/escalate boundary
C5.1,Reproduce a fault reliably and define the observed symptom before attempting a fix.,Reproduce a fault reliably and define the observed symptom before attempting a fix.,KEEP,Informed by / cross-checked against,pccEET101B,Portland Community College — EET 101B — Electronic Equipment and Lab Skills,https://www.pcc.edu/ccog/eet/101b/,onetTech; nasaSystems,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians | https://www.onetonline.org/link/summary/17-3023.00; NASA — NASA Systems Engineering Handbook | https://www.nasa.gov/reference/systems-engineering-handbook/,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,C2 expected/design-intent model; C3 measurement planning; known-good behavior before faults,Week 13 Career — Career integration: reproducible fault isolation and causal root cause,13,13,SEM-C5-13-1640A,Week 13 · Career integration: reproducible fault isolation and causal root cause · required elements: Controlled reproduction and exact symptom; Competing hypotheses with predicted evidence; High-information divide-and-conquer/signal/rail test; Cause distinguished from symptom and verified after correction; Concise symptom-setup-evidence-cause-action-verification report
C5.2,Form a testable hypothesis from expected versus actual behavior and choose the next measurement that best separates competing causes.,Form a testable hypothesis from expected versus actual behavior and choose the next measurement that best separates competing causes.,KEEP,Informed by / cross-checked against,pccEET101B,Portland Community College — EET 101B — Electronic Equipment and Lab Skills,https://www.pcc.edu/ccog/eet/101b/,onetTech; nasaSystems,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians | https://www.onetonline.org/link/summary/17-3023.00; NASA — NASA Systems Engineering Handbook | https://www.nasa.gov/reference/systems-engineering-handbook/,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,C2 expected/design-intent model; C3 measurement planning; known-good behavior before faults,Week 13 Career — Career integration: reproducible fault isolation and causal root cause,13,13,SEM-C5-13-1640A,Week 13 · Career integration: reproducible fault isolation and causal root cause · required elements: Controlled reproduction and exact symptom; Competing hypotheses with predicted evidence; High-information divide-and-conquer/signal/rail test; Cause distinguished from symptom and verified after correction; Concise symptom-setup-evidence-cause-action-verification report
C5.3,"Use divide-and-conquer, known-good substitution, signal tracing, or rail-by-rail checks appropriately without changing multiple variables at once.","Use divide-and-conquer, known-good substitution, signal tracing, or rail-by-rail checks appropriately without changing multiple variables at once.",KEEP,Informed by / cross-checked against,pccEET101B,Portland Community College — EET 101B — Electronic Equipment and Lab Skills,https://www.pcc.edu/ccog/eet/101b/,onetTech; nasaSystems,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians | https://www.onetonline.org/link/summary/17-3023.00; NASA — NASA Systems Engineering Handbook | https://www.nasa.gov/reference/systems-engineering-handbook/,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,C2 expected/design-intent model; C3 measurement planning; known-good behavior before faults,Week 13 Career — Career integration: reproducible fault isolation and causal root cause,13,13,SEM-C5-13-1640A,Week 13 · Career integration: reproducible fault isolation and causal root cause · required elements: Controlled reproduction and exact symptom; Competing hypotheses with predicted evidence; High-information divide-and-conquer/signal/rail test; Cause distinguished from symptom and verified after correction; Concise symptom-setup-evidence-cause-action-verification report
C5.4,Distinguish root cause from symptom and verify that a repair removes the cause without creating a new failure.,Distinguish root cause from symptom and verify that a repair removes the cause without creating a new failure.,KEEP,Informed by / cross-checked against,pccEET101B,Portland Community College — EET 101B — Electronic Equipment and Lab Skills,https://www.pcc.edu/ccog/eet/101b/,onetTech; nasaSystems,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians | https://www.onetonline.org/link/summary/17-3023.00; NASA — NASA Systems Engineering Handbook | https://www.nasa.gov/reference/systems-engineering-handbook/,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,C2 expected/design-intent model; C3 measurement planning; known-good behavior before faults,Week 13 Career — Career integration: reproducible fault isolation and causal root cause,13,13,SEM-C5-13-1640A,Week 13 · Career integration: reproducible fault isolation and causal root cause · required elements: Controlled reproduction and exact symptom; Competing hypotheses with predicted evidence; High-information divide-and-conquer/signal/rail test; Cause distinguished from symptom and verified after correction; Concise symptom-setup-evidence-cause-action-verification report
C5.5,Use fault injection or controlled perturbation to demonstrate that a diagnostic method can detect an expected failure mode.,Use fault injection or controlled perturbation to demonstrate that a diagnostic method can detect an expected failure mode.,MOVE,Informed by / cross-checked against,pccEET101B,Portland Community College — EET 101B — Electronic Equipment and Lab Skills,https://www.pcc.edu/ccog/eet/101b/,onetTech; nasaSystems,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians | https://www.onetonline.org/link/summary/17-3023.00; NASA — NASA Systems Engineering Handbook | https://www.nasa.gov/reference/systems-engineering-handbook/,Moved to the first curriculum location where the full competency is actually taught and can be assessed without future-concept leakage.,Alfred preserves the competency identity but moves required mastery evidence to the dependency-correct week.,C5.1–C5.4 (expected→observed troubleshooting and causal hypothesis testing); C11.1–C11.4 (verification/test-case discipline); known-good project baseline,Week 28 Career — controlled fault injection and detection coverage,28,28,SEM-C5-28-1640B,Week 28 · Career integration: controlled fault injection and detection coverage · required elements: Known-good baseline before injection; Safe reversible fault with expected failure signature; Diagnostic method detects the injected fault; Configuration/evidence preserved; Correction/restoration plus verified retest
C5.6,"Write a concise failure report containing symptom, setup, evidence, root cause, corrective action, and verification.","Write a concise failure report containing symptom, setup, evidence, root cause, corrective action, and verification.",KEEP,Informed by / cross-checked against,pccEET101B,Portland Community College — EET 101B — Electronic Equipment and Lab Skills,https://www.pcc.edu/ccog/eet/101b/,onetTech; nasaSystems,O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians | https://www.onetonline.org/link/summary/17-3023.00; NASA — NASA Systems Engineering Handbook | https://www.nasa.gov/reference/systems-engineering-handbook/,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,C2 expected/design-intent model; C3 measurement planning; known-good behavior before faults,Week 13 Career — Career integration: reproducible fault isolation and causal root cause,13,13,SEM-C5-13-1640A,Week 13 · Career integration: reproducible fault isolation and causal root cause · required elements: Controlled reproduction and exact symptom; Competing hypotheses with predicted evidence; High-information divide-and-conquer/signal/rail test; Cause distinguished from symptom and verified after correction; Concise symptom-setup-evidence-cause-action-verification report
C6.1,"Write and explain C expressions using integer types, operators, precedence, conditionals, and loops.","Read, write, and trace small C programs using typed variables, expressions, assignments, conditionals, and loops; predict control flow and resulting values before running the code.",REWRITE,Informed by,tamuESET,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/,beejC,Brian Hall / open textbook — Beej's Guide to C Programming | https://beej.us/guide/bgc/,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,CETA-W14 computer/representation foundation; no prior programming assumed,Week 14 Career — Career integration: C foundations from control flow through addresses and pointers,14,14,SEM-C6-14-1640,Week 14 · Career integration: C foundations from control flow through addresses and pointers · required elements: Expressions/types/conditionals/loops; Functions/parameters/returns/scope; Arrays/strings/structs/enums with bounds/type discipline; Bitwise masks/shifts; Value-versus-address and valid pointer/lifetime reasoning; Common defects identified; Warnings/diagnostics used methodically
C6.2,"Use functions, prototypes, parameters, return values, and scope to organize code into testable units.","Use function declarations/prototypes, parameters, return values, and scope to divide C programs into small testable units and explain the data passed into and out of each unit.",REWRITE,Informed by,tamuESET,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/,beejC,Brian Hall / open textbook — Beej's Guide to C Programming | https://beej.us/guide/bgc/,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,CETA-W14 computer/representation foundation; no prior programming assumed,Week 14 Career — Career integration: C foundations from control flow through addresses and pointers,14,14,SEM-C6-14-1640,Week 14 · Career integration: C foundations from control flow through addresses and pointers · required elements: Expressions/types/conditionals/loops; Functions/parameters/returns/scope; Arrays/strings/structs/enums with bounds/type discipline; Bitwise masks/shifts; Value-versus-address and valid pointer/lifetime reasoning; Common defects identified; Warnings/diagnostics used methodically
C6.3,"Use arrays, strings, structs, enums, and pointers without confusing values, addresses, and object lifetimes.","Use arrays, strings, structs, and enums to represent small embedded/test-program data structures while maintaining bounds, type, and lifetime discipline.",SPLIT,Informed by,cs50C,Harvard University — CS50x Week 4 — Memory and Pointers,https://cs50.harvard.edu/x/notes/4/,beejC,Brian Hall / open textbook — Beej's Guide to C Programming | https://beej.us/guide/bgc/,The prior standard combined aggregate data structures with the separate value/address/pointer mental model. It is split so pointers can be taught and assessed explicitly rather than hidden inside one overloaded competency.,C6.3 now owns aggregate data structures; new C6.7 owns addresses/pointers and lifetime-safe pointer use.,CETA-W14 computer/representation foundation; no prior programming assumed,Week 14 Career — arrays/strings/structs/enums,14,14,SEM-C6-14-1640,Week 14 · Career integration: C foundations from control flow through addresses and pointers · required elements: Expressions/types/conditionals/loops; Functions/parameters/returns/scope; Arrays/strings/structs/enums with bounds/type discipline; Bitwise masks/shifts; Value-versus-address and valid pointer/lifetime reasoning; Common defects identified; Warnings/diagnostics used methodically
C6.4,"Use bitwise AND, OR, XOR, shifts, and masks to inspect or modify individual bits.","Use bitwise AND, OR, XOR, shifts, and masks to inspect or modify specific bits, and explain the before/after bit pattern rather than treating the operation as a memorized formula.",REWRITE,Informed by,armEmbedded,Arm — Embedded C Programming with Arm Cortex-M,https://developer.arm.com/community/arm-community-blogs/b/embedded-and-microcontrollers-blog/posts/embedded-c-programming-with-arm-cortex-m-video-course,beejC,Brian Hall / open textbook — Beej's Guide to C Programming | https://beej.us/guide/bgc/,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,CETA-W14 computer/representation foundation; no prior programming assumed,Week 14 Career — Career integration: C foundations from control flow through addresses and pointers,14,14,SEM-C6-14-1640,Week 14 · Career integration: C foundations from control flow through addresses and pointers · required elements: Expressions/types/conditionals/loops; Functions/parameters/returns/scope; Arrays/strings/structs/enums with bounds/type discipline; Bitwise masks/shifts; Value-versus-address and valid pointer/lifetime reasoning; Common defects identified; Warnings/diagnostics used methodically
C6.5,"Identify common C defects such as off-by-one errors, uninitialized variables, invalid pointer use, integer overflow, and missing bounds checks.","Recognize and prevent common C defects including off-by-one errors, uninitialized data, invalid pointer use, out-of-bounds access, integer conversion/overflow problems, and missing validation.",REWRITE,Informed by,tamuESET,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/,beejC; cs50C; armEmbedded,Brian Hall / open textbook — Beej's Guide to C Programming | https://beej.us/guide/bgc/; Harvard University — CS50x Week 4 — Memory and Pointers | https://cs50.harvard.edu/x/notes/4/; Arm — Embedded C Programming with Arm Cortex-M | https://developer.arm.com/community/arm-community-blogs/b/embedded-and-microcontrollers-blog/posts/embedded-c-programming-with-arm-cortex-m-video-course,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,CETA-W14 computer/representation foundation; no prior programming assumed,Week 14 Career — Career integration: C foundations from control flow through addresses and pointers,14,14,SEM-C6-14-1640,Week 14 · Career integration: C foundations from control flow through addresses and pointers · required elements: Expressions/types/conditionals/loops; Functions/parameters/returns/scope; Arrays/strings/structs/enums with bounds/type discipline; Bitwise masks/shifts; Value-versus-address and valid pointer/lifetime reasoning; Common defects identified; Warnings/diagnostics used methodically
C6.6,"Compile with warnings enabled, read diagnostics, and debug a small program methodically rather than changing code at random.","Build small C programs with warnings enabled, interpret compiler/runtime diagnostics, reproduce failures with controlled inputs, inspect state, and debug by testing one hypothesis at a time.",REWRITE,Informed by,tamuESET,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/,beejC; cs50C; armEmbedded,Brian Hall / open textbook — Beej's Guide to C Programming | https://beej.us/guide/bgc/; Harvard University — CS50x Week 4 — Memory and Pointers | https://cs50.harvard.edu/x/notes/4/; Arm — Embedded C Programming with Arm Cortex-M | https://developer.arm.com/community/arm-community-blogs/b/embedded-and-microcontrollers-blog/posts/embedded-c-programming-with-arm-cortex-m-video-course,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,CETA-W14 computer/representation foundation; no prior programming assumed,Week 14 Career — Career integration: C foundations from control flow through addresses and pointers,14,14,SEM-C6-14-1640,Week 14 · Career integration: C foundations from control flow through addresses and pointers · required elements: Expressions/types/conditionals/loops; Functions/parameters/returns/scope; Arrays/strings/structs/enums with bounds/type discipline; Bitwise masks/shifts; Value-versus-address and valid pointer/lifetime reasoning; Common defects identified; Warnings/diagnostics used methodically
C6.7,,"Explain the difference between a value and an address, use pointers to access valid objects/arrays, and identify invalid, null, out-of-bounds, and lifetime-related pointer risks in small C programs.",ADD,Informed by,beejC,Brian Hall / open textbook — Beej's Guide to C Programming,https://beej.us/guide/bgc/,cs50C; armEmbedded,Harvard University — CS50x Week 4 — Memory and Pointers | https://cs50.harvard.edu/x/notes/4/; Arm — Embedded C Programming with Arm Cortex-M | https://developer.arm.com/community/arm-community-blogs/b/embedded-and-microcontrollers-blog/posts/embedded-c-programming-with-arm-cortex-m-video-course,Added because pointer/address reasoning is a prerequisite for embedded C and deserved an explicit independently teachable competency rather than being buried inside C6.3.,"Alfred introduces the address mental model only after arrays/functions, then uses tiny examples before MCU register/peripheral code.","CETA-W14 (computer/memory representation); C6.1–C6.3 (program anatomy, control flow, arrays/data structures)","Week 14 Career — values, addresses, pointers, lifetime",14,14,SEM-C6-14-1640,Week 14 · Career integration: C foundations from control flow through addresses and pointers · required elements: Expressions/types/conditionals/loops; Functions/parameters/returns/scope; Arrays/strings/structs/enums with bounds/type discipline; Bitwise masks/shifts; Value-versus-address and valid pointer/lifetime reasoning; Common defects identified; Warnings/diagnostics used methodically
C7.1,"Explain the role of CPU, registers, memory, peripherals, clocking, interrupts, and buses in a microcontroller system.","Explain an embedded microcontroller as CPU + memory + clocks + buses + peripherals + registers, and connect each part to what executing C code can observe or control.",REWRITE,Informed by,tamuESET,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/,armKit; stTraining,Arm University Program — Efficient Embedded Systems Education Kit | https://www.arm.com/resources/education/education-kits/efficient-embedded-systems; STMicroelectronics — STM32 Online Training | https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,C6 C-programming foundation; CETA-W15 MCU/computer concepts,"Week 15 Career — Career integration: embedded C, MCU architecture, and nonblocking design",15,15,SEM-C7-15-081,"Week 15 · Career integration: embedded C, MCU architecture, and nonblocking design · required elements: CPU/register/memory/peripheral/clock/interrupt/bus roles; Fixed-width and volatile use/limits; Mask/read-modify-write preserving unrelated bits; Nonblocking state machine; Polling vs interrupt decision; Layer hardware/application/diagnostic responsibilities"
C7.2,Use volatile and fixed-width integer types appropriately when code interacts with hardware registers or asynchronous events.,"Use fixed-width integer types and volatile appropriately for hardware registers or asynchronously changed state, and explain what volatile does and does not guarantee.",REWRITE,Informed by,tamuESET,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/,armEmbedded; armKit; stTraining,Arm — Embedded C Programming with Arm Cortex-M | https://developer.arm.com/community/arm-community-blogs/b/embedded-and-microcontrollers-blog/posts/embedded-c-programming-with-arm-cortex-m-video-course; Arm University Program — Efficient Embedded Systems Education Kit | https://www.arm.com/resources/education/education-kits/efficient-embedded-systems; STMicroelectronics — STM32 Online Training | https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,C6 C-programming foundation; CETA-W15 MCU/computer concepts,"Week 15 Career — Career integration: embedded C, MCU architecture, and nonblocking design",15,15,SEM-C7-15-081,"Week 15 · Career integration: embedded C, MCU architecture, and nonblocking design · required elements: CPU/register/memory/peripheral/clock/interrupt/bus roles; Fixed-width and volatile use/limits; Mask/read-modify-write preserving unrelated bits; Nonblocking state machine; Polling vs interrupt decision; Layer hardware/application/diagnostic responsibilities"
C7.3,Apply read-modify-write and bit-mask operations to peripheral control registers while preserving unrelated bits.,Apply read-modify-write and bit masks to memory-mapped peripheral registers while preserving unrelated bits and checking the relevant register documentation.,REWRITE,Informed by,tamuESET,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/,armEmbedded; armKit; stTraining,Arm — Embedded C Programming with Arm Cortex-M | https://developer.arm.com/community/arm-community-blogs/b/embedded-and-microcontrollers-blog/posts/embedded-c-programming-with-arm-cortex-m-video-course; Arm University Program — Efficient Embedded Systems Education Kit | https://www.arm.com/resources/education/education-kits/efficient-embedded-systems; STMicroelectronics — STM32 Online Training | https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,C6 C-programming foundation; CETA-W15 MCU/computer concepts,"Week 15 Career — Career integration: embedded C, MCU architecture, and nonblocking design",15,15,SEM-C7-15-081,"Week 15 · Career integration: embedded C, MCU architecture, and nonblocking design · required elements: CPU/register/memory/peripheral/clock/interrupt/bus roles; Fixed-width and volatile use/limits; Mask/read-modify-write preserving unrelated bits; Nonblocking state machine; Polling vs interrupt decision; Layer hardware/application/diagnostic responsibilities"
C7.4,Design a nonblocking state machine for a simple embedded behavior instead of relying on long blocking delays.,"Convert a simple blocking embedded behavior into an explicit nonblocking state machine with named states, transitions, events, and bounded timing behavior.",REWRITE,Informed by,tamuESET,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/,armEmbedded; armKit; stTraining,Arm — Embedded C Programming with Arm Cortex-M | https://developer.arm.com/community/arm-community-blogs/b/embedded-and-microcontrollers-blog/posts/embedded-c-programming-with-arm-cortex-m-video-course; Arm University Program — Efficient Embedded Systems Education Kit | https://www.arm.com/resources/education/education-kits/efficient-embedded-systems; STMicroelectronics — STM32 Online Training | https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,C6 C-programming foundation; CETA-W15 MCU/computer concepts,"Week 15 Career — Career integration: embedded C, MCU architecture, and nonblocking design",15,15,SEM-C7-15-081,"Week 15 · Career integration: embedded C, MCU architecture, and nonblocking design · required elements: CPU/register/memory/peripheral/clock/interrupt/bus roles; Fixed-width and volatile use/limits; Mask/read-modify-write preserving unrelated bits; Nonblocking state machine; Polling vs interrupt decision; Layer hardware/application/diagnostic responsibilities"
C7.5,Explain polling versus interrupts and select the simpler correct approach for a given timing requirement.,"Explain polling and interrupts from the CPU/peripheral point of view and choose the simpler correct mechanism for a stated latency, timing, and complexity requirement.",REWRITE,Informed by,tamuESET,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/,armEmbedded; armKit; stTraining,Arm — Embedded C Programming with Arm Cortex-M | https://developer.arm.com/community/arm-community-blogs/b/embedded-and-microcontrollers-blog/posts/embedded-c-programming-with-arm-cortex-m-video-course; Arm University Program — Efficient Embedded Systems Education Kit | https://www.arm.com/resources/education/education-kits/efficient-embedded-systems; STMicroelectronics — STM32 Online Training | https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,C6 C-programming foundation; CETA-W15 MCU/computer concepts,"Week 15 Career — Career integration: embedded C, MCU architecture, and nonblocking design",15,15,SEM-C7-15-081,"Week 15 · Career integration: embedded C, MCU architecture, and nonblocking design · required elements: CPU/register/memory/peripheral/clock/interrupt/bus roles; Fixed-width and volatile use/limits; Mask/read-modify-write preserving unrelated bits; Nonblocking state machine; Polling vs interrupt decision; Layer hardware/application/diagnostic responsibilities"
C7.6,"Separate hardware abstraction, application logic, and diagnostic output so firmware is easier to test and troubleshoot.","Separate hardware-access code, application/state logic, and diagnostic output so each layer can be reasoned about, tested, and troubleshot independently.",REWRITE,Informed by,tamuESET,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/,armEmbedded; armKit; stTraining,Arm — Embedded C Programming with Arm Cortex-M | https://developer.arm.com/community/arm-community-blogs/b/embedded-and-microcontrollers-blog/posts/embedded-c-programming-with-arm-cortex-m-video-course; Arm University Program — Efficient Embedded Systems Education Kit | https://www.arm.com/resources/education/education-kits/efficient-embedded-systems; STMicroelectronics — STM32 Online Training | https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,C6 C-programming foundation; CETA-W15 MCU/computer concepts,"Week 15 Career — Career integration: embedded C, MCU architecture, and nonblocking design",15,15,SEM-C7-15-081,"Week 15 · Career integration: embedded C, MCU architecture, and nonblocking design · required elements: CPU/register/memory/peripheral/clock/interrupt/bus roles; Fixed-width and volatile use/limits; Mask/read-modify-write preserving unrelated bits; Nonblocking state machine; Polling vs interrupt decision; Layer hardware/application/diagnostic responsibilities"
C8.1,"Create an STM32 project with correct MCU/board selection, clock configuration, pin mapping, and generated initialization code.","Create an STM32 project by identifying the exact board/MCU, configuring clocks and pins, generating/inspecting initialization, building the project, and identifying the produced firmware image.",REWRITE,Adapted from / informed by,stTraining,STMicroelectronics — STM32 Online Training,https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,stMooc,STMicroelectronics — STM32CubeMX and STM32Cube HAL Basics | https://www.st.com/content/st_com/en/support/learning/stm32-moocs/stm32cubemx-and-cubeHhal-basics.html,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,C7 embedded-C/MCU architecture; C3 measurement evidence; CETA-W16 MCU/toolchain concepts,"Week 16 Career — Career integration: STM32 build/flash/debug, timer, and ADC proofs",16,16,SEM-C8-16-1640,"Week 16 · Career integration: STM32 build/flash/debug, timer, and ADC proofs · required elements: Exact board/MCU/project/clock/pin identity; GPIO firmware plus physical verification; SWD halt/step/breakpoint/register evidence; Timer clock/prescaler/period or interrupt-event proof; ADC reference/channel/resolution/raw-code-to-volts proof; Current/reset/boot/debug early checks; Reproducible fault/configuration/retest evidence"
