ID,Previous standard,Final standard,Status,Source relationship,Primary source ID,Primary source,Primary source URL,Secondary source IDs,Secondary sources,Secondary source URLs,Why relevant,Alfred adaptation,First curriculum use,Primary semantic/mastery week,Evidence route
C6.1,"Write and explain C expressions using integer types, operators, precedence, conditionals, and loops.","Read, write, and trace small C programs using typed variables, expressions, assignments, conditionals, and loops; predict control flow and resulting values before running the code.",REWRITE,Informed by,tamuESET,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/,beejC,Brian Hall / open textbook — Beej's Guide to C Programming,https://beej.us/guide/bgc/,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,14,14,Required semantic task SEM-C6-14-080; required primary lesson gate; v16.3 integrated lesson checks; Week 14 mastery/teach-back.
C6.2,"Use functions, prototypes, parameters, return values, and scope to organize code into testable units.","Use function declarations/prototypes, parameters, return values, and scope to divide C programs into small testable units and explain the data passed into and out of each unit.",REWRITE,Informed by,tamuESET,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/,beejC,Brian Hall / open textbook — Beej's Guide to C Programming,https://beej.us/guide/bgc/,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,14,14,Required semantic task SEM-C6-14-080; required primary lesson gate; v16.3 integrated lesson checks; Week 14 mastery/teach-back.
C6.3,"Use arrays, strings, structs, enums, and pointers without confusing values, addresses, and object lifetimes.","Use arrays, strings, structs, enums, addresses, and pointers while clearly distinguishing stored values from memory addresses and respecting bounds and object lifetime.",REWRITE,Informed by,cs50C,Harvard University — CS50x Week 4 — Memory and Pointers,https://cs50.harvard.edu/x/notes/4/,beejC,Brian Hall / open textbook — Beej's Guide to C Programming,https://beej.us/guide/bgc/,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,14,14,Required semantic task SEM-C6-14-080; required primary lesson gate; v16.3 integrated lesson checks; Week 14 mastery/teach-back.
C6.4,"Use bitwise AND, OR, XOR, shifts, and masks to inspect or modify individual bits.","Use bitwise AND, OR, XOR, shifts, and masks to inspect or modify specific bits, and explain the before/after bit pattern rather than treating the operation as a memorized formula.",REWRITE,Informed by,armEmbedded,Arm — Embedded C Programming with Arm Cortex-M,https://developer.arm.com/community/arm-community-blogs/b/embedded-and-microcontrollers-blog/posts/embedded-c-programming-with-arm-cortex-m-video-course,beejC,Brian Hall / open textbook — Beej's Guide to C Programming,https://beej.us/guide/bgc/,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,11,14,Required semantic task SEM-C6-14-080; required primary lesson gate; v16.3 integrated lesson checks; Week 14 mastery/teach-back.
C6.5,"Identify common C defects such as off-by-one errors, uninitialized variables, invalid pointer use, integer overflow, and missing bounds checks.","Recognize and prevent common C defects including off-by-one errors, uninitialized data, invalid pointer use, out-of-bounds access, integer conversion/overflow problems, and missing validation.",REWRITE,Informed by,tamuESET,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/,beejC | cs50C | armEmbedded,Brian Hall / open textbook — Beej's Guide to C Programming | Harvard University — CS50x Week 4 — Memory and Pointers | Arm — Embedded C Programming with Arm Cortex-M,https://beej.us/guide/bgc/ | https://cs50.harvard.edu/x/notes/4/ | https://developer.arm.com/community/arm-community-blogs/b/embedded-and-microcontrollers-blog/posts/embedded-c-programming-with-arm-cortex-m-video-course,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,14,14,Required semantic task SEM-C6-14-080; required primary lesson gate; v16.3 integrated lesson checks; Week 14 mastery/teach-back.
C6.6,"Compile with warnings enabled, read diagnostics, and debug a small program methodically rather than changing code at random.","Build small C programs with warnings enabled, interpret compiler/runtime diagnostics, reproduce failures with controlled inputs, inspect state, and debug by testing one hypothesis at a time.",REWRITE,Informed by,tamuESET,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/,beejC | cs50C | armEmbedded,Brian Hall / open textbook — Beej's Guide to C Programming | Harvard University — CS50x Week 4 — Memory and Pointers | Arm — Embedded C Programming with Arm Cortex-M,https://beej.us/guide/bgc/ | https://cs50.harvard.edu/x/notes/4/ | https://developer.arm.com/community/arm-community-blogs/b/embedded-and-microcontrollers-blog/posts/embedded-c-programming-with-arm-cortex-m-video-course,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,14,14,Required semantic task SEM-C6-14-080; required primary lesson gate; v16.3 integrated lesson checks; Week 14 mastery/teach-back.
C7.1,"Explain the role of CPU, registers, memory, peripherals, clocking, interrupts, and buses in a microcontroller system.","Explain an embedded microcontroller as CPU + memory + clocks + buses + peripherals + registers, and connect each part to what executing C code can observe or control.",REWRITE,Informed by,tamuESET,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/,armKit | stTraining,Arm University Program — Efficient Embedded Systems Education Kit | STMicroelectronics — STM32 Online Training,https://www.arm.com/resources/education/education-kits/efficient-embedded-systems | https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,11,15,Required semantic task SEM-C7-15-081; required primary lesson gate; v16.3 integrated lesson checks; Week 15 mastery/teach-back.
C7.2,Use volatile and fixed-width integer types appropriately when code interacts with hardware registers or asynchronous events.,"Use fixed-width integer types and volatile appropriately for hardware registers or asynchronously changed state, and explain what volatile does and does not guarantee.",REWRITE,Informed by,tamuESET,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/,armEmbedded | armKit | stTraining,Arm — Embedded C Programming with Arm Cortex-M | Arm University Program — Efficient Embedded Systems Education Kit | STMicroelectronics — STM32 Online Training,https://developer.arm.com/community/arm-community-blogs/b/embedded-and-microcontrollers-blog/posts/embedded-c-programming-with-arm-cortex-m-video-course | https://www.arm.com/resources/education/education-kits/efficient-embedded-systems | https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,15,15,Required semantic task SEM-C7-15-081; required primary lesson gate; v16.3 integrated lesson checks; Week 15 mastery/teach-back.
C7.3,Apply read-modify-write and bit-mask operations to peripheral control registers while preserving unrelated bits.,Apply read-modify-write and bit masks to memory-mapped peripheral registers while preserving unrelated bits and checking the relevant register documentation.,REWRITE,Informed by,tamuESET,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/,armEmbedded | armKit | stTraining,Arm — Embedded C Programming with Arm Cortex-M | Arm University Program — Efficient Embedded Systems Education Kit | STMicroelectronics — STM32 Online Training,https://developer.arm.com/community/arm-community-blogs/b/embedded-and-microcontrollers-blog/posts/embedded-c-programming-with-arm-cortex-m-video-course | https://www.arm.com/resources/education/education-kits/efficient-embedded-systems | https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,11,15,Required semantic task SEM-C7-15-081; required primary lesson gate; v16.3 integrated lesson checks; Week 15 mastery/teach-back.
C7.4,Design a nonblocking state machine for a simple embedded behavior instead of relying on long blocking delays.,"Convert a simple blocking embedded behavior into an explicit nonblocking state machine with named states, transitions, events, and bounded timing behavior.",REWRITE,Informed by,tamuESET,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/,armEmbedded | armKit | stTraining,Arm — Embedded C Programming with Arm Cortex-M | Arm University Program — Efficient Embedded Systems Education Kit | STMicroelectronics — STM32 Online Training,https://developer.arm.com/community/arm-community-blogs/b/embedded-and-microcontrollers-blog/posts/embedded-c-programming-with-arm-cortex-m-video-course | https://www.arm.com/resources/education/education-kits/efficient-embedded-systems | https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,15,15,Required semantic task SEM-C7-15-081; required primary lesson gate; v16.3 integrated lesson checks; Week 15 mastery/teach-back.
C7.5,Explain polling versus interrupts and select the simpler correct approach for a given timing requirement.,"Explain polling and interrupts from the CPU/peripheral point of view and choose the simpler correct mechanism for a stated latency, timing, and complexity requirement.",REWRITE,Informed by,tamuESET,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/,armEmbedded | armKit | stTraining,Arm — Embedded C Programming with Arm Cortex-M | Arm University Program — Efficient Embedded Systems Education Kit | STMicroelectronics — STM32 Online Training,https://developer.arm.com/community/arm-community-blogs/b/embedded-and-microcontrollers-blog/posts/embedded-c-programming-with-arm-cortex-m-video-course | https://www.arm.com/resources/education/education-kits/efficient-embedded-systems | https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,15,15,Required semantic task SEM-C7-15-081; required primary lesson gate; v16.3 integrated lesson checks; Week 15 mastery/teach-back.
C7.6,"Separate hardware abstraction, application logic, and diagnostic output so firmware is easier to test and troubleshoot.","Separate hardware-access code, application/state logic, and diagnostic output so each layer can be reasoned about, tested, and troubleshot independently.",REWRITE,Informed by,tamuESET,Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions,https://catalog.tamu.edu/undergraduate/course-descriptions/eset/,armEmbedded | armKit | stTraining,Arm — Embedded C Programming with Arm Cortex-M | Arm University Program — Efficient Embedded Systems Education Kit | STMicroelectronics — STM32 Online Training,https://developer.arm.com/community/arm-community-blogs/b/embedded-and-microcontrollers-blog/posts/embedded-c-programming-with-arm-cortex-m-video-course | https://www.arm.com/resources/education/education-kits/efficient-embedded-systems | https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,15,15,Required semantic task SEM-C7-15-081; required primary lesson gate; v16.3 integrated lesson checks; Week 15 mastery/teach-back.
C8.1,"Create an STM32 project with correct MCU/board selection, clock configuration, pin mapping, and generated initialization code.","Create an STM32 project by identifying the exact board/MCU, configuring clocks and pins, generating/inspecting initialization, building the project, and identifying the produced firmware image.",REWRITE,Adapted from / informed by,stTraining,STMicroelectronics — STM32 Online Training,https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,stMooc,STMicroelectronics — STM32CubeMX and STM32Cube HAL Basics,https://www.st.com/content/st_com/en/support/learning/stm32-moocs/stm32cubemx-and-cubeHhal-basics.html,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,16,16,Required semantic task SEM-C8-16-082; required primary lesson gate; v16.3 integrated lesson checks; Week 16 mastery/teach-back.
C8.2,Bring up a GPIO input/output and verify both firmware state and physical pin behavior.,"Bring up one STM32 GPIO path from project configuration through firmware state to physical pin behavior, using an independent measurement to prove the result.",REWRITE,Adapted from / informed by,stTraining,STMicroelectronics — STM32 Online Training,https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,stMooc | tamuESET | armKit,STMicroelectronics — STM32CubeMX and STM32Cube HAL Basics | Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions | Arm University Program — Efficient Embedded Systems Education Kit,https://www.st.com/content/st_com/en/support/learning/stm32-moocs/stm32cubemx-and-cubeHhal-basics.html | https://catalog.tamu.edu/undergraduate/course-descriptions/eset/ | https://www.arm.com/resources/education/education-kits/efficient-embedded-systems,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,16,16,Required semantic task SEM-C8-16-082; required primary lesson gate; v16.3 integrated lesson checks; Week 16 mastery/teach-back.
C8.3,"Use SWD debugging to halt, step, inspect variables/registers, set breakpoints, and distinguish code-flow problems from hardware problems.","Explain the debug-probe/SWD path and use it to connect, halt, step, set breakpoints, and inspect variables/registers so code-flow faults can be separated from hardware faults.",REWRITE,Adapted from / informed by,stTraining,STMicroelectronics — STM32 Online Training,https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,armKit,Arm University Program — Efficient Embedded Systems Education Kit,https://www.arm.com/resources/education/education-kits/efficient-embedded-systems,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,16,16,Required semantic task SEM-C8-16-082; required primary lesson gate; v16.3 integrated lesson checks; Week 16 mastery/teach-back.
C8.4,"Configure and validate a timer, ADC, or interrupt source while checking assumptions about clocks and units.","Configure and validate a timer, ADC, or interrupt source by tracing clock/units/configuration assumptions through firmware state and physical or measured evidence.",REWRITE,Adapted from / informed by,stTraining,STMicroelectronics — STM32 Online Training,https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,stMooc | tamuESET | armKit,STMicroelectronics — STM32CubeMX and STM32Cube HAL Basics | Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions | Arm University Program — Efficient Embedded Systems Education Kit,https://www.st.com/content/st_com/en/support/learning/stm32-moocs/stm32cubemx-and-cubeHhal-basics.html | https://catalog.tamu.edu/undergraduate/course-descriptions/eset/ | https://www.arm.com/resources/education/education-kits/efficient-embedded-systems,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,18,16,Required semantic task SEM-C8-16-082; required primary lesson gate; v16.3 integrated lesson checks; Week 16 mastery/teach-back.
C8.5,"Use current draw, reset behavior, clock configuration, boot configuration, and debug connectivity as early board bring-up checks.","Use staged evidence—power/current, reset/boot, clock/configuration, debug connectivity, minimal firmware, and I/O—to establish a known-good STM32 bring-up baseline before adding complexity.",REWRITE,Adapted from / informed by,stTraining,STMicroelectronics — STM32 Online Training,https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,stMooc | tamuESET | armKit,STMicroelectronics — STM32CubeMX and STM32Cube HAL Basics | Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions | Arm University Program — Efficient Embedded Systems Education Kit,https://www.st.com/content/st_com/en/support/learning/stm32-moocs/stm32cubemx-and-cubeHhal-basics.html | https://catalog.tamu.edu/undergraduate/course-descriptions/eset/ | https://www.arm.com/resources/education/education-kits/efficient-embedded-systems,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,16,16,Required semantic task SEM-C8-16-082; required primary lesson gate; v16.3 integrated lesson checks; Week 16 mastery/teach-back.
C8.6,"Capture a reproducible STM32 fault with firmware revision, configuration, measurements, and a verified fix.","Capture an STM32 fault reproducibly with board/MCU identity, firmware revision, configuration, measurements/debug evidence, hypothesis, corrective action, and verified retest.",REWRITE,Adapted from / informed by,stTraining,STMicroelectronics — STM32 Online Training,https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,stMooc | tamuESET | armKit,STMicroelectronics — STM32CubeMX and STM32Cube HAL Basics | Texas A&M University — Electronic Systems Engineering Technology (ESET) course descriptions | Arm University Program — Efficient Embedded Systems Education Kit,https://www.st.com/content/st_com/en/support/learning/stm32-moocs/stm32cubemx-and-cubeHhal-basics.html | https://catalog.tamu.edu/undergraduate/course-descriptions/eset/ | https://www.arm.com/resources/education/education-kits/efficient-embedded-systems,Rewritten to expose the beginner prerequisite/mental model while preserving the same competency identity and assessment domain.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,16,16,Required semantic task SEM-C8-16-082; required primary lesson gate; v16.3 integrated lesson checks; Week 16 mastery/teach-back.
C9.1,"Configure UART parameters and diagnose mismatched baud rate, data bits, parity, stop bits, logic level, or crossed TX/RX connections.","Configure UART parameters and diagnose mismatched baud rate, data bits, parity, stop bits, logic level, or crossed TX/RX connections.",KEEP,Informed by,stTraining,STMicroelectronics — STM32 Online Training,https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,saleae | sparkfunSerial | sparkfunI2C | sparkfunSPI,Saleae — Logic Analyzer Learning and Support | SparkFun — Serial Communication | SparkFun — I2C | SparkFun — Serial Peripheral Interface (SPI),https://support.saleae.com/ | https://learn.sparkfun.com/tutorials/serial-communication/all | https://learn.sparkfun.com/tutorials/i2c/all | https://learn.sparkfun.com/tutorials/serial-peripheral-interface-spi/all,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,17,18,Required semantic task SEM-C9-18-083; required primary lesson gate; v16.3 integrated lesson checks; Week 18 mastery/teach-back.
C9.2,"Explain I²C addressing, open-drain signaling, pull-up resistors, START/STOP conditions, ACK/NACK, and common stuck-bus faults.","Explain I²C addressing, open-drain signaling, pull-up resistors, START/STOP conditions, ACK/NACK, and common stuck-bus faults.",KEEP,Informed by,stTraining,STMicroelectronics — STM32 Online Training,https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,saleae | sparkfunSerial | sparkfunI2C | sparkfunSPI,Saleae — Logic Analyzer Learning and Support | SparkFun — Serial Communication | SparkFun — I2C | SparkFun — Serial Peripheral Interface (SPI),https://support.saleae.com/ | https://learn.sparkfun.com/tutorials/serial-communication/all | https://learn.sparkfun.com/tutorials/i2c/all | https://learn.sparkfun.com/tutorials/serial-peripheral-interface-spi/all,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,18,18,Required semantic task SEM-C9-18-083; required primary lesson gate; v16.3 integrated lesson checks; Week 18 mastery/teach-back.
C9.3,"Explain SPI clock, MOSI/MISO, chip select, mode/polarity/phase, word length, and common configuration mismatches.","Explain SPI clock, MOSI/MISO, chip select, mode/polarity/phase, word length, and common configuration mismatches.",KEEP,Informed by,stTraining,STMicroelectronics — STM32 Online Training,https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,saleae | sparkfunSerial | sparkfunI2C | sparkfunSPI,Saleae — Logic Analyzer Learning and Support | SparkFun — Serial Communication | SparkFun — I2C | SparkFun — Serial Peripheral Interface (SPI),https://support.saleae.com/ | https://learn.sparkfun.com/tutorials/serial-communication/all | https://learn.sparkfun.com/tutorials/i2c/all | https://learn.sparkfun.com/tutorials/serial-peripheral-interface-spi/all,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,18,18,Required semantic task SEM-C9-18-083; required primary lesson gate; v16.3 integrated lesson checks; Week 18 mastery/teach-back.
C9.4,"Use a logic analyzer capture to correlate firmware actions with actual UART, I²C, or SPI bus transactions.","Use a logic analyzer capture to correlate firmware actions with actual UART, I²C, or SPI bus transactions.",KEEP,Informed by,stTraining,STMicroelectronics — STM32 Online Training,https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,saleae | sparkfunSerial | sparkfunI2C | sparkfunSPI,Saleae — Logic Analyzer Learning and Support | SparkFun — Serial Communication | SparkFun — I2C | SparkFun — Serial Peripheral Interface (SPI),https://support.saleae.com/ | https://learn.sparkfun.com/tutorials/serial-communication/all | https://learn.sparkfun.com/tutorials/i2c/all | https://learn.sparkfun.com/tutorials/serial-peripheral-interface-spi/all,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,17,18,Required semantic task SEM-C9-18-083; required primary lesson gate; v16.3 integrated lesson checks; Week 18 mastery/teach-back.
C9.5,"Read a sensor/interface datasheet to determine register address, transaction sequence, timing, and expected response.","Read a sensor/interface datasheet to determine register address, transaction sequence, timing, and expected response.",KEEP,Informed by,stTraining,STMicroelectronics — STM32 Online Training,https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,saleae | sparkfunSerial | sparkfunI2C | sparkfunSPI,Saleae — Logic Analyzer Learning and Support | SparkFun — Serial Communication | SparkFun — I2C | SparkFun — Serial Peripheral Interface (SPI),https://support.saleae.com/ | https://learn.sparkfun.com/tutorials/serial-communication/all | https://learn.sparkfun.com/tutorials/i2c/all | https://learn.sparkfun.com/tutorials/serial-peripheral-interface-spi/all,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,18,18,Required semantic task SEM-C9-18-083; required primary lesson gate; v16.3 integrated lesson checks; Week 18 mastery/teach-back.
C9.6,"Diagnose whether an interface failure is most likely firmware configuration, electrical connection, signal integrity, device addressing, or protocol sequencing.","Diagnose whether an interface failure is most likely firmware configuration, electrical connection, signal integrity, device addressing, or protocol sequencing.",KEEP,Informed by,stTraining,STMicroelectronics — STM32 Online Training,https://www.st.com/content/st_com/en/support/learning/stm32-online-training.html,saleae | sparkfunSerial | sparkfunI2C | sparkfunSPI,Saleae — Logic Analyzer Learning and Support | SparkFun — Serial Communication | SparkFun — I2C | SparkFun — Serial Peripheral Interface (SPI),https://support.saleae.com/ | https://learn.sparkfun.com/tutorials/serial-communication/all | https://learn.sparkfun.com/tutorials/i2c/all | https://learn.sparkfun.com/tutorials/serial-peripheral-interface-spi/all,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,17,18,Required semantic task SEM-C9-18-083; required primary lesson gate; v16.3 integrated lesson checks; Week 18 mastery/teach-back.
C10.1,"Use Python to open, configure, read from, and write to a serial device with explicit timeouts and error handling.","Use Python to open, configure, read from, and write to a serial device with explicit timeouts and error handling.",KEEP,Informed by,pythonDocs,Python Software Foundation — Python 3 Documentation,https://docs.python.org/3/,pyserial | pytest | onetTech,pySerial project — pySerial Documentation | pytest project — pytest Documentation | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://pyserial.readthedocs.io/ | https://docs.pytest.org/ | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,17,27,Required semantic task SEM-C10-27-084; required primary lesson gate; v16.3 integrated lesson checks; Week 27 mastery/teach-back.
C10.2,Parse incoming measurements into structured values and reject malformed or out-of-range data safely.,Parse incoming measurements into structured values and reject malformed or out-of-range data safely.,KEEP,Informed by,pythonDocs,Python Software Foundation — Python 3 Documentation,https://docs.python.org/3/,pyserial | pytest | onetTech,pySerial project — pySerial Documentation | pytest project — pytest Documentation | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://pyserial.readthedocs.io/ | https://docs.pytest.org/ | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,17,27,Required semantic task SEM-C10-27-084; required primary lesson gate; v16.3 integrated lesson checks; Week 27 mastery/teach-back.
C10.3,"Log timestamped test data in a reproducible format that preserves units, device identity, and test conditions.","Log timestamped test data in a reproducible format that preserves units, device identity, and test conditions.",KEEP,Informed by,pythonDocs,Python Software Foundation — Python 3 Documentation,https://docs.python.org/3/,pyserial | pytest | onetTech,pySerial project — pySerial Documentation | pytest project — pytest Documentation | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://pyserial.readthedocs.io/ | https://docs.pytest.org/ | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,17,27,Required semantic task SEM-C10-27-084; required primary lesson gate; v16.3 integrated lesson checks; Week 27 mastery/teach-back.
C10.4,Write an automated PASS/FAIL check against explicit limits and report why a failure occurred.,Write an automated PASS/FAIL check against explicit limits and report why a failure occurred.,KEEP,Informed by,pythonDocs,Python Software Foundation — Python 3 Documentation,https://docs.python.org/3/,pyserial | pytest | onetTech,pySerial project — pySerial Documentation | pytest project — pytest Documentation | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://pyserial.readthedocs.io/ | https://docs.pytest.org/ | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,27,27,Required semantic task SEM-C10-27-084; required primary lesson gate; v16.3 integrated lesson checks; Week 27 mastery/teach-back.
C10.5,"Plot or summarize test data to reveal trends, drift, noise, or outliers relevant to a hardware decision.","Plot or summarize test data to reveal trends, drift, noise, or outliers relevant to a hardware decision.",KEEP,Informed by,pythonDocs,Python Software Foundation — Python 3 Documentation,https://docs.python.org/3/,pyserial | pytest | onetTech,pySerial project — pySerial Documentation | pytest project — pytest Documentation | O*NET OnLine / U.S. Department of Labor — Electrical and Electronic Engineering Technologists and Technicians,https://pyserial.readthedocs.io/ | https://docs.pytest.org/ | https://www.onetonline.org/link/summary/17-3023.00,Retained because the existing competency remains appropriately scoped; provenance and prerequisite traceability were added.,Alfred sequences the competency inside the shared CETa/Career dependency graph and uses Alfred-specific labs/projects for evidence.,27,27,Required semantic task SEM-C10-27-084; required primary lesson gate; v16.3 integrated lesson checks; Week 27 mastery/teach-back.
